#associated_score_name	study_stage	sample_set	n	case_n	control_n	broad_ancestral_category	country_of_recruitment	additional_ancestry_description	cohort	additional_sample_cohort_information
GBE_INI4101	Testing	INI4101_test	25716	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI4101	Testing	INI4101_non_british_white	10636	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI4101	Testing	INI4101_s_asian	5043	NA	NA	South Asian	UK		UKB	
GBE_INI4101	Testing	INI4101_african	3559	NA	NA	African unspecified	UK		UKB	
GBE_INI4101	Testing	INI4101_e_asian	781	NA	NA	East Asian	UK		UKB	
GBE_INI1588	Score development		194622	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI1588	Testing	INI1588_test	48642	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI1588	Testing	INI1588_non_british_white	17009	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI1588	Testing	INI1588_african	2231	NA	NA	African unspecified	UK		UKB	
GBE_INI1588	Testing	INI1588_s_asian	2187	NA	NA	South Asian	UK		UKB	
GBE_INI1588	Testing	INI1588_e_asian	426	NA	NA	East Asian	UK		UKB	
GBE_INI4104	Score development		103475	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI4104	Testing	INI4104_test	25716	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI4104	Testing	INI4104_non_british_white	10636	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI4104	Testing	INI4104_s_asian	5043	NA	NA	South Asian	UK		UKB	
GBE_INI4104	Testing	INI4104_african	3560	NA	NA	African unspecified	UK		UKB	
GBE_INI4104	Testing	INI4104_e_asian	781	NA	NA	East Asian	UK		UKB	
GBE_INI30110	Score development		262210	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30110	Testing	INI30110_test	65601	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30110	Testing	INI30110_non_british_white	24171	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30110	Testing	INI30110_s_asian	7519	NA	NA	South Asian	UK		UKB	
GBE_INI30110	Testing	INI30110_african	6139	NA	NA	African unspecified	UK		UKB	
GBE_INI30110	Testing	INI30110_e_asian	1655	NA	NA	East Asian	UK		UKB	
GBE_INI3761	Score development		55834	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI3761	Testing	INI3761_test	13999	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI3761	Testing	INI3761_non_british_white	5147	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI3761	Testing	INI3761_s_asian	1451	NA	NA	South Asian	UK		UKB	
GBE_INI3761	Testing	INI3761_african	1401	NA	NA	African unspecified	UK		UKB	
GBE_INI3761	Testing	INI3761_e_asian	592	NA	NA	East Asian	UK		UKB	
GBE_INI10030620	Score development		255039	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030620	Testing	INI10030620_test	63761	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030620	Testing	INI10030620_non_british_white	23567	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030620	Testing	INI10030620_s_asian	7274	NA	NA	South Asian	UK		UKB	
GBE_INI10030620	Testing	INI10030620_african	6017	NA	NA	African unspecified	UK		UKB	
GBE_INI10030620	Testing	INI10030620_e_asian	1578	NA	NA	East Asian	UK		UKB	
GBE_INI1100	Score development		245697	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI1100	Testing	INI1100_test	61326	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI1100	Testing	INI1100_non_british_white	21973	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI1100	Testing	INI1100_s_asian	6322	NA	NA	South Asian	UK		UKB	
GBE_INI1100	Testing	INI1100_african	4984	NA	NA	African unspecified	UK		UKB	
GBE_INI1100	Testing	INI1100_e_asian	1350	NA	NA	East Asian	UK		UKB	
GBE_INI2139	Score development		238552	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI2139	Testing	INI2139_test	59599	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI2139	Testing	INI2139_non_british_white	21597	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI2139	Testing	INI2139_s_asian	4838	NA	NA	South Asian	UK		UKB	
GBE_INI2139	Testing	INI2139_african	4771	NA	NA	African unspecified	UK		UKB	
GBE_INI2139	Testing	INI2139_e_asian	1050	NA	NA	East Asian	UK		UKB	
GBE_INI1060	Score development		218456	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI1060	Testing	INI1060_test	54472	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI1060	Testing	INI1060_non_british_white	19562	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI1060	Testing	INI1060_s_asian	5444	NA	NA	South Asian	UK		UKB	
GBE_INI1060	Testing	INI1060_african	4650	NA	NA	African unspecified	UK		UKB	
GBE_INI1060	Testing	INI1060_e_asian	1039	NA	NA	East Asian	UK		UKB	
GBE_INI30640	Score development		256624	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30640	Testing	INI30640_test	64166	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30640	Testing	INI30640_non_british_white	23638	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30640	Testing	INI30640_s_asian	7362	NA	NA	South Asian	UK		UKB	
GBE_INI30640	Testing	INI30640_african	6044	NA	NA	African unspecified	UK		UKB	
GBE_INI30640	Testing	INI30640_e_asian	1605	NA	NA	East Asian	UK		UKB	
GBE_INI30030650	Score development		254129	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30030650	Testing	INI30030650_test	63540	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30030650	Testing	INI30030650_non_british_white	23476	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30030650	Testing	INI30030650_s_asian	7258	NA	NA	South Asian	UK		UKB	
GBE_INI30030650	Testing	INI30030650_african	5981	NA	NA	African unspecified	UK		UKB	
GBE_INI30030650	Testing	INI30030650_e_asian	1564	NA	NA	East Asian	UK		UKB	
GBE_QT_FC1001220	Score development		268858	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_QT_FC1001220	Testing	QT_FC1001220_test	67196	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_QT_FC1001220	Testing	QT_FC1001220_non_british_white	24713	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_QT_FC1001220	Testing	QT_FC1001220_s_asian	7410	NA	NA	South Asian	UK		UKB	
GBE_QT_FC1001220	Testing	QT_FC1001220_african	6254	NA	NA	African unspecified	UK		UKB	
GBE_QT_FC1001220	Testing	QT_FC1001220_e_asian	1629	NA	NA	East Asian	UK		UKB	
GBE_INI30120	Score development		261890	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30120	Testing	INI30120_test	65520	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30120	Testing	INI30120_non_british_white	24129	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30120	Testing	INI30120_s_asian	7491	NA	NA	South Asian	UK		UKB	
GBE_INI30120	Testing	INI30120_african	6120	NA	NA	African unspecified	UK		UKB	
GBE_INI30120	Testing	INI30120_e_asian	1654	NA	NA	East Asian	UK		UKB	
GBE_INI30600	Score development		236899	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30600	Testing	INI30600_test	59097	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30600	Testing	INI30600_non_british_white	21759	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30600	Testing	INI30600_s_asian	6786	NA	NA	South Asian	UK		UKB	
GBE_INI30600	Testing	INI30600_african	5658	NA	NA	African unspecified	UK		UKB	
GBE_INI30600	Testing	INI30600_e_asian	1472	NA	NA	East Asian	UK		UKB	
GBE_INI1737	Score development		203279	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI1737	Testing	INI1737_test	50754	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI1737	Testing	INI1737_non_british_white	19358	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI1737	Testing	INI1737_s_asian	6219	NA	NA	South Asian	UK		UKB	
GBE_INI1737	Testing	INI1737_african	5650	NA	NA	African unspecified	UK		UKB	
GBE_INI1737	Testing	INI1737_e_asian	1297	NA	NA	East Asian	UK		UKB	
GBE_INI30860	Score development		236651	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30860	Testing	INI30860_test	59024	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30860	Testing	INI30860_non_british_white	21730	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30860	Testing	INI30860_s_asian	6788	NA	NA	South Asian	UK		UKB	
GBE_INI30860	Testing	INI30860_african	5659	NA	NA	African unspecified	UK		UKB	
GBE_INI30860	Testing	INI30860_e_asian	1474	NA	NA	East Asian	UK		UKB	
GBE_INI30130	Score development		261890	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30130	Testing	INI30130_test	65520	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30130	Testing	INI30130_non_british_white	24129	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30130	Testing	INI30130_s_asian	7491	NA	NA	South Asian	UK		UKB	
GBE_INI30130	Testing	INI30130_african	6120	NA	NA	African unspecified	UK		UKB	
GBE_INI30130	Testing	INI30130_e_asian	1654	NA	NA	East Asian	UK		UKB	
GBE_INI30290	Score development		258164	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30290	Testing	INI30290_test	64524	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30290	Testing	INI30290_non_british_white	23681	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30290	Testing	INI30290_s_asian	7321	NA	NA	South Asian	UK		UKB	
GBE_INI30290	Testing	INI30290_african	5974	NA	NA	African unspecified	UK		UKB	
GBE_INI30290	Testing	INI30290_e_asian	1623	NA	NA	East Asian	UK		UKB	
GBE_INI30760	Score development		236814	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30760	Testing	INI30760_test	59060	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30760	Testing	INI30760_non_british_white	21750	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30760	Testing	INI30760_s_asian	6782	NA	NA	South Asian	UK		UKB	
GBE_INI30760	Testing	INI30760_african	5656	NA	NA	African unspecified	UK		UKB	
GBE_INI30760	Testing	INI30760_e_asian	1475	NA	NA	East Asian	UK		UKB	
GBE_INI4125	Score development		103563	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI4125	Testing	INI4125_test	25728	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI4125	Testing	INI4125_non_british_white	10633	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI4125	Testing	INI4125_s_asian	5041	NA	NA	South Asian	UK		UKB	
GBE_INI4125	Testing	INI4125_african	3592	NA	NA	African unspecified	UK		UKB	
GBE_INI4125	Testing	INI4125_e_asian	782	NA	NA	East Asian	UK		UKB	
GBE_INI10030770	Score development		253708	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030770	Testing	INI10030770_test	63388	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030770	Testing	INI10030770_non_british_white	23451	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030770	Testing	INI10030770_s_asian	7232	NA	NA	South Asian	UK		UKB	
GBE_INI10030770	Testing	INI10030770_african	5974	NA	NA	African unspecified	UK		UKB	
GBE_INI10030770	Testing	INI10030770_e_asian	1571	NA	NA	East Asian	UK		UKB	
GBE_QT_FC1001180	Score development		243289	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_QT_FC1001180	Testing	QT_FC1001180_test	60873	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_QT_FC1001180	Testing	QT_FC1001180_non_british_white	22724	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_QT_FC1001180	Testing	QT_FC1001180_s_asian	6662	NA	NA	South Asian	UK		UKB	
GBE_QT_FC1001180	Testing	QT_FC1001180_african	5462	NA	NA	African unspecified	UK		UKB	
GBE_QT_FC1001180	Testing	QT_FC1001180_e_asian	1493	NA	NA	East Asian	UK		UKB	
GBE_INI1548	Score development		269106	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI1548	Testing	INI1548_test	67259	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI1548	Testing	INI1548_non_british_white	24750	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI1548	Testing	INI1548_s_asian	7343	NA	NA	South Asian	UK		UKB	
GBE_INI1548	Testing	INI1548_african	6271	NA	NA	African unspecified	UK		UKB	
GBE_INI1548	Testing	INI1548_e_asian	1585	NA	NA	East Asian	UK		UKB	
GBE_INI4106	Score development		103475	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI4106	Testing	INI4106_test	25716	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI4106	Testing	INI4106_non_british_white	10636	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI4106	Testing	INI4106_s_asian	5043	NA	NA	South Asian	UK		UKB	
GBE_INI4106	Testing	INI4106_african	3560	NA	NA	African unspecified	UK		UKB	
GBE_INI4106	Testing	INI4106_e_asian	781	NA	NA	East Asian	UK		UKB	
GBE_INI3143	Score development		155522	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI3143	Testing	INI3143_test	38834	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI3143	Testing	INI3143_non_british_white	12376	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI3143	Testing	INI3143_s_asian	2312	NA	NA	South Asian	UK		UKB	
GBE_INI3143	Testing	INI3143_african	2253	NA	NA	African unspecified	UK		UKB	
GBE_INI3143	Testing	INI3143_e_asian	795	NA	NA	East Asian	UK		UKB	
GBE_INI20191	Score development		69373	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI20191	Testing	INI20191_test	17335	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI20191	Testing	INI20191_non_british_white	6510	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI20191	Testing	INI20191_s_asian	836	NA	NA	South Asian	UK		UKB	
GBE_INI20191	Testing	INI20191_african	605	NA	NA	African unspecified	UK		UKB	
GBE_INI20191	Testing	INI20191_e_asian	288	NA	NA	East Asian	UK		UKB	
GBE_QT_FC1001369	Score development		268862	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_QT_FC1001369	Testing	QT_FC1001369_test	67208	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_QT_FC1001369	Testing	QT_FC1001369_non_british_white	24795	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_QT_FC1001369	Testing	QT_FC1001369_s_asian	7508	NA	NA	South Asian	UK		UKB	
GBE_QT_FC1001369	Testing	QT_FC1001369_african	6271	NA	NA	African unspecified	UK		UKB	
GBE_QT_FC1001369	Testing	QT_FC1001369_e_asian	1641	NA	NA	East Asian	UK		UKB	
GBE_INI2887	Score development		64064	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI2887	Testing	INI2887_test	15927	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI2887	Testing	INI2887_non_british_white	6735	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI2887	Testing	INI2887_s_asian	585	NA	NA	South Asian	UK		UKB	
GBE_INI2887	Testing	INI2887_african	553	NA	NA	African unspecified	UK		UKB	
GBE_INI2887	Testing	INI2887_e_asian	122	NA	NA	East Asian	UK		UKB	
GBE_INI3077	Score development		269143	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI3077	Testing	INI3077_test	67301	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI3077	Testing	INI3077_non_british_white	24825	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI3077	Testing	INI3077_s_asian	7643	NA	NA	South Asian	UK		UKB	
GBE_INI3077	Testing	INI3077_african	6403	NA	NA	African unspecified	UK		UKB	
GBE_INI3077	Testing	INI3077_e_asian	1698	NA	NA	East Asian	UK		UKB	
GBE_INI134	Score development		269672	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI134	Testing	INI134_test	67419	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI134	Testing	INI134_non_british_white	24894	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI134	Testing	INI134_s_asian	7812	NA	NA	South Asian	UK		UKB	
GBE_INI134	Testing	INI134_african	6483	NA	NA	African unspecified	UK		UKB	
GBE_INI134	Testing	INI134_e_asian	1702	NA	NA	East Asian	UK		UKB	
GBE_INI10030650	Score development		254188	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030650	Testing	INI10030650_test	63557	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030650	Testing	INI10030650_non_british_white	23481	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030650	Testing	INI10030650_s_asian	7262	NA	NA	South Asian	UK		UKB	
GBE_INI10030650	Testing	INI10030650_african	5982	NA	NA	African unspecified	UK		UKB	
GBE_INI10030650	Testing	INI10030650_e_asian	1565	NA	NA	East Asian	UK		UKB	
GBE_INI30150	Score development		261890	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30150	Testing	INI30150_test	65520	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30150	Testing	INI30150_non_british_white	24129	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30150	Testing	INI30150_s_asian	7491	NA	NA	South Asian	UK		UKB	
GBE_INI30150	Testing	INI30150_african	6120	NA	NA	African unspecified	UK		UKB	
GBE_INI30150	Testing	INI30150_e_asian	1654	NA	NA	East Asian	UK		UKB	
GBE_QT_FC1001359	Score development		269294	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_QT_FC1001359	Testing	QT_FC1001359_test	67313	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_QT_FC1001359	Testing	QT_FC1001359_non_british_white	24847	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_QT_FC1001359	Testing	QT_FC1001359_s_asian	7623	NA	NA	South Asian	UK		UKB	
GBE_QT_FC1001359	Testing	QT_FC1001359_african	6377	NA	NA	African unspecified	UK		UKB	
GBE_QT_FC1001359	Testing	QT_FC1001359_e_asian	1655	NA	NA	East Asian	UK		UKB	
GBE_INI20022	Score development		156295	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI20022	Testing	INI20022_test	39107	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI20022	Testing	INI20022_non_british_white	12908	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI20022	Testing	INI20022_s_asian	1908	NA	NA	South Asian	UK		UKB	
GBE_INI20022	Testing	INI20022_african	1708	NA	NA	African unspecified	UK		UKB	
GBE_INI20022	Testing	INI20022_e_asian	609	NA	NA	East Asian	UK		UKB	
GBE_INI1120	Score development		227780	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI1120	Testing	INI1120_test	56771	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI1120	Testing	INI1120_non_british_white	21348	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI1120	Testing	INI1120_s_asian	6342	NA	NA	South Asian	UK		UKB	
GBE_INI1120	Testing	INI1120_african	5801	NA	NA	African unspecified	UK		UKB	
GBE_INI1120	Testing	INI1120_e_asian	1380	NA	NA	East Asian	UK		UKB	
GBE_QT_FC1002296	Score development		269274	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_QT_FC1002296	Testing	QT_FC1002296_test	67306	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_QT_FC1002296	Testing	QT_FC1002296_non_british_white	24790	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_QT_FC1002296	Testing	QT_FC1002296_s_asian	7443	NA	NA	South Asian	UK		UKB	
GBE_QT_FC1002296	Testing	QT_FC1002296_african	6336	NA	NA	African unspecified	UK		UKB	
GBE_QT_FC1002296	Testing	QT_FC1002296_e_asian	1629	NA	NA	East Asian	UK		UKB	
GBE_INI20030690	Score development		255120	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI20030690	Testing	INI20030690_test	63789	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI20030690	Testing	INI20030690_non_british_white	23579	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI20030690	Testing	INI20030690_s_asian	7285	NA	NA	South Asian	UK		UKB	
GBE_INI20030690	Testing	INI20030690_african	6014	NA	NA	African unspecified	UK		UKB	
GBE_INI20030690	Testing	INI20030690_e_asian	1579	NA	NA	East Asian	UK		UKB	
GBE_INI1578	Score development		194222	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI1578	Testing	INI1578_test	48492	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI1578	Testing	INI1578_non_british_white	16955	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI1578	Testing	INI1578_african	2190	NA	NA	African unspecified	UK		UKB	
GBE_INI1578	Testing	INI1578_s_asian	2134	NA	NA	South Asian	UK		UKB	
GBE_INI1578	Testing	INI1578_e_asian	419	NA	NA	East Asian	UK		UKB	
GBE_INI23004	Score development		5368	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23004	Testing	INI23004_test	1275	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23004	Testing	INI23004_non_british_white	471	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23004	Testing	INI23004_s_asian	164	NA	NA	South Asian	UK		UKB	
GBE_INI23004	Testing	INI23004_african	119	NA	NA	African unspecified	UK		UKB	
GBE_INI23004	Testing	INI23004_e_asian	41	NA	NA	East Asian	UK		UKB	
GBE_INI10030700	Score development		255029	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030700	Testing	INI10030700_test	63753	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030700	Testing	INI10030700_non_british_white	23574	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030700	Testing	INI10030700_s_asian	7288	NA	NA	South Asian	UK		UKB	
GBE_INI10030700	Testing	INI10030700_african	6016	NA	NA	African unspecified	UK		UKB	
GBE_INI10030700	Testing	INI10030700_e_asian	1578	NA	NA	East Asian	UK		UKB	
GBE_INI10030760	Score development		233566	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030760	Testing	INI10030760_test	58246	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030760	Testing	INI10030760_non_british_white	21540	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030760	Testing	INI10030760_s_asian	6645	NA	NA	South Asian	UK		UKB	
GBE_INI10030760	Testing	INI10030760_african	5573	NA	NA	African unspecified	UK		UKB	
GBE_INI10030760	Testing	INI10030760_e_asian	1438	NA	NA	East Asian	UK		UKB	
GBE_INI10030720	Score development		255044	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030720	Testing	INI10030720_test	63757	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030720	Testing	INI10030720_non_british_white	23578	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030720	Testing	INI10030720_s_asian	7287	NA	NA	South Asian	UK		UKB	
GBE_INI10030720	Testing	INI10030720_african	6015	NA	NA	African unspecified	UK		UKB	
GBE_INI10030720	Testing	INI10030720_e_asian	1579	NA	NA	East Asian	UK		UKB	
GBE_INI2966	Score development		68490	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI2966	Testing	INI2966_test	17194	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI2966	Testing	INI2966_non_british_white	5696	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI2966	Testing	INI2966_african	2132	NA	NA	African unspecified	UK		UKB	
GBE_INI2966	Testing	INI2966_s_asian	2038	NA	NA	South Asian	UK		UKB	
GBE_INI2966	Testing	INI2966_e_asian	324	NA	NA	East Asian	UK		UKB	
GBE_INI10030830	Score development		231320	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030830	Testing	INI10030830_test	57672	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030830	Testing	INI10030830_non_british_white	21311	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030830	Testing	INI10030830_s_asian	6594	NA	NA	South Asian	UK		UKB	
GBE_INI10030830	Testing	INI10030830_african	5523	NA	NA	African unspecified	UK		UKB	
GBE_INI10030830	Testing	INI10030830_e_asian	1426	NA	NA	East Asian	UK		UKB	
GBE_QT_FC1002080	Score development		262479	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_QT_FC1002080	Testing	QT_FC1002080_test	65570	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_QT_FC1002080	Testing	QT_FC1002080_non_british_white	24093	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_QT_FC1002080	Testing	QT_FC1002080_s_asian	6965	NA	NA	South Asian	UK		UKB	
GBE_QT_FC1002080	Testing	QT_FC1002080_african	5943	NA	NA	African unspecified	UK		UKB	
GBE_QT_FC1002080	Testing	QT_FC1002080_e_asian	1554	NA	NA	East Asian	UK		UKB	
GBE_INI10030670	Score development		254966	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030670	Testing	INI10030670_test	63740	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030670	Testing	INI10030670_non_british_white	23560	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030670	Testing	INI10030670_s_asian	7285	NA	NA	South Asian	UK		UKB	
GBE_INI10030670	Testing	INI10030670_african	6015	NA	NA	African unspecified	UK		UKB	
GBE_INI10030670	Testing	INI10030670_e_asian	1577	NA	NA	East Asian	UK		UKB	
GBE_INI1289	Score development		262541	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
