Polygenic Score (PGS) ID	PGS Name	Reported Trait	URL	Mapped Trait(s) (EFO ID)	PGS Development Method	Score Development Details	Original Genome Build	Number of variants	Number of interaction terms
PGS001006	GBE_BIN_FC1002306	Weight change compared with 1 year ago	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1002306	EFO_0009799|EFO_0004338	snpnet		GRCh37	2638	0
PGS001028	GBE_BIN_FC1006148	Eye problems/disorders Diabetic eye disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1006148	EFO_0009486	snpnet		GRCh37	123	0
PGS000947	GBE_BIN_FC1006149	Mouth ulcers	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1006149	HP_0000155	snpnet		GRCh37	1648	0
PGS001317	GBE_BIN_FC1006150	Vascular/heart problems diagnosed by doctor Heart attack	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1006150	EFO_0000612	snpnet		GRCh37	1030	0
PGS001266	GBE_BIN_FC1006152	DVT diagnosed by doctor	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1006152	EFO_0003907	snpnet		GRCh37	1773	0
PGS001112	GBE_BIN_FC1006154	Aspirin	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1006154	EFO_0007013	snpnet		GRCh37	499	0
PGS000931	GBE_BIN_FC11006152	Blood clot or DVT diagnosed by doctor	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC11006152	MONDO_0000831|EFO_0003907	snpnet		GRCh37	534	0
PGS001278	GBE_BIN_FC12006152	Blood clot in the leg (DVT) or lung	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC12006152	EFO_0003827|EFO_0003907	snpnet		GRCh37	551	0
PGS001153	GBE_BIN_FC18006155	Folic acid or folate (Vitamin B9)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC18006155	EFO_0005111	snpnet		GRCh37	5	0
PGS001321	GBE_BIN_FC2006148	Eye problems/disorders Glaucoma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC2006148	EFO_0000516	snpnet		GRCh37	1103	0
PGS001262	GBE_BIN_FC2006150	Vascular/heart problems diagnosed by doctor Angina	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC2006150	EFO_0003913	snpnet		GRCh37	1852	0
PGS001116	GBE_BIN_FC2006154	Ibuprofen (e.g. Nurofen)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC2006154	EFO_0007012	snpnet		GRCh37	174	0
PGS001044	GBE_BIN_FC2006179	Glucosamine	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC2006179	EFO_0009116	snpnet		GRCh37	324	0
PGS001252	GBE_BIN_FC3002247	Hearing difficulty and Deafness	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC3002247	EFO_0004238|EFO_0001063	snpnet		GRCh37	3731	0
PGS000930	GBE_BIN_FC3006152	Blood clot diagnosed by doctor	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC3006152	MONDO_0000831	snpnet		GRCh37	118	0
PGS001335	GBE_BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC4006150	EFO_0000319	snpnet		GRCh37	14076	0
PGS001344	GBE_BIN_FC4006152	Asthma diagnosed by doctor	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC4006152	EFO_0000270	snpnet		GRCh37	6139	0
PGS001013	GBE_BIN_FC5006148	Eye problems/disorders Macular degeneration	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC5006148	EFO_0009606	snpnet		GRCh37	53	0
PGS001285	GBE_BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC5006152	EFO_0003785	snpnet		GRCh37	7313	0
PGS000995	GBE_BIN_FC6006149	Dentures	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC6006149	EFO_0010078	snpnet		GRCh37	6042	0
PGS001265	GBE_BIN_FC6006152	Blood clot in the leg (DVT)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC6006152	EFO_0003907	snpnet		GRCh37	1530	0
PGS001045	GBE_BIN_FC6006155	Vitamin B9 vs no supplement	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC6006155	EFO_0009116	snpnet		GRCh37	5	0
PGS001113	GBE_BIN_FC7006154	Aspirin use self-reported	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC7006154	EFO_0007013	snpnet		GRCh37	790	0
PGS001279	GBE_BIN_FC8006152	Blood clot in the lung	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC8006152	EFO_0003827|EFO_0003907	snpnet		GRCh37	94	0
PGS001114	GBE_BIN_FC8006154	Ibuprofen use self-reported	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC8006154	EFO_0007012|EFO_0009799	snpnet		GRCh37	419	0
PGS001115	GBE_BIN_FC9006154	Paracetamol use self-reported	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC9006154	EFO_0007012|EFO_0009799	snpnet		GRCh37	4673	0
PGS001063	GBE_BIN_FC10001538	Major dietary changes in the last 5 years becuase of illness	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10001538	EFO_0008111	snpnet		GRCh37	730	0
PGS001085	GBE_BIN_FC10001628	Alcohol intake versus 10 years previously (More nowadays)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10001628	EFO_0007878|EFO_0007645	snpnet		GRCh37	214	0
PGS001246	GBE_BIN_FC10001727	Ease of skin tanning (Get very tanned)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10001727	EFO_0004279	snpnet		GRCh37	4130	0
PGS001141	GBE_BIN_FC10001757	Facial ageing (Younger than you are)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10001757	EFO_0005422	snpnet		GRCh37	7676	0
PGS000982	GBE_BIN_FC10002267	Use of sun/uv protection (Never/rarely)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10002267	EFO_0010729	snpnet		GRCh37	1141	0
PGS001139	GBE_BIN_FC10002644	Light smokers, at least 100 smokes in lifetime	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10002644	EFO_0005671	snpnet		GRCh37	11	0
PGS001093	GBE_BIN_FC1001747	Hair colour (natural, before greying) blonde	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1001747	EFO_0007822	snpnet		GRCh37	6970	0
PGS001127	GBE_BIN_FC10020116	Never Smoker	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10020116	EFO_0006527	snpnet		GRCh37	12310	0
PGS001047	GBE_BIN_FC20001249	Past tobacco smoking (Smoked occasionally)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20001249	EFO_0009115	snpnet		GRCh37	2245	0
PGS001058	GBE_BIN_FC20001468	Cereal type: Biscuit cereal (e.g. Weetabix)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20001468	EFO_0008111	snpnet		GRCh37	146	0
PGS001125	GBE_BIN_FC20001508	Coffee type: Instant coffee	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20001508	EFO_0006781	snpnet		GRCh37	432	0
PGS001245	GBE_BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20001727	EFO_0004279	snpnet		GRCh37	2693	0
PGS001072	GBE_BIN_FC20001757	Facial ageing (Older than you are)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20001757	EFO_0008006	snpnet		GRCh37	39	0
	GBE_BIN_FC20002267	Use of sun/uv protection (Sometimes)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20002267		snpnet		GRCh37	309	0
PGS001098	GBE_BIN_FC2001747	Hair colour (natural, before greying) red	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC2001747	EFO_0007822	snpnet		GRCh37	1621	0
PGS001128	GBE_BIN_FC20020116	Previous Smoker	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20020116	EFO_0006527	snpnet		GRCh37	4348	0
PGS001064	GBE_BIN_FC30001418	Milk type: Skimmed	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC30001418	EFO_0008111	snpnet		GRCh37	116	0
PGS001124	GBE_BIN_FC30001508	Coffee type: Ground coffee (include espresso, filter etc)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC30001508	EFO_0006781	snpnet		GRCh37	9694	0
PGS001244	GBE_BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC30001727	EFO_0004279	snpnet		GRCh37	958	0
PGS001071	GBE_BIN_FC30001757	Facial ageing (About your age)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC30001757	EFO_0008006	snpnet		GRCh37	6782	0
PGS001074	GBE_BIN_FC30006164	Types of physical activity in last 4 weeks (other exercises)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC30006164	EFO_0008002	snpnet		GRCh37	3846	0
PGS001096	GBE_BIN_FC3001747	Hair colour (natural, before greying) light brown	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC3001747	EFO_0007822	snpnet		GRCh37	2127	0
PGS001065	GBE_BIN_FC3006144	Never eat wheat	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC3006144	EFO_0008111	snpnet		GRCh37	5	0
PGS001046	GBE_BIN_FC40001249	Past tobacco smoking (Smoked at least once)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC40001249	EFO_0009115	snpnet		GRCh37	6169	0
PGS001247	GBE_BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC40001727	EFO_0004279	snpnet		GRCh37	3159	0
PGS000980	GBE_BIN_FC40002267	Use of sun/uv protection (Always)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC40002267	EFO_0010729	snpnet		GRCh37	2594	0
PGS001095	GBE_BIN_FC4001747	Hair colour (natural, before greying) dark brown	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC4001747	EFO_0007822	snpnet		GRCh37	5662	0
PGS000991	GBE_BIN_FC4006144	Never eat sugar	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC4006144	EFO_0010158	snpnet		GRCh37	2816	0
PGS001059	GBE_BIN_FC50001468	Cereal type: Other (e.g. Cornflakes, Frosties)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC50001468	EFO_0008111	snpnet		GRCh37	1286	0
PGS001092	GBE_BIN_FC5001747	Hair colour (natural, before greying) black	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC5001747	EFO_0007822	snpnet		GRCh37	1649	0
PGS001097	GBE_BIN_FC6001747	Hair colour (natural, before greying) other	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC6001747	EFO_0007822	snpnet		GRCh37	21	0
PGS001094	GBE_BIN_FC7001747	Hair colour (natural, before greying) brown	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC7001747	EFO_0007822	snpnet		GRCh37	4024	0
PGS001054	GBE_BIN1210	Snoring	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN1210	EFO_0008341	snpnet		GRCh37	7407	0
PGS000976	GBE_BIN23066	JCV seropositivity for Human Polyomavirus JCV	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN23066	EFO_0010907	snpnet		GRCh37	16	0
PGS000977	GBE_BIN23067	MCV seropositivity for Merkel Cell Polyomavirus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN23067	EFO_0010906	snpnet		GRCh37	3	0
PGS001123	GBE_BIN100240	Coffee consumed	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN100240	EFO_0006781	snpnet		GRCh37	48	0
PGS001086	GBE_BIN100580	Alcohol consumed	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN100580	EFO_0007878	snpnet		GRCh37	1028	0
PGS001300	GBE_BIN21068	Diagnosed with coeliac disease or gluten sensitivity	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN21068	EFO_0001060	snpnet		GRCh37	9	0
PGS001090	GBE_BIN_FC40020489	Often felt loved as a child	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC40020489	EFO_0007869	snpnet		GRCh37	7555	0
PGS000972	GBE_BIN10030500	Microalbumin > 40 mg/L	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN10030500	EFO_0010967	snpnet		GRCh37	1097	0
PGS001182	GBE_BIN10030800	Oestradiol > 212 pmol/L	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN10030800	EFO_0004697	snpnet		GRCh37	351	0
PGS001138	GBE_BIN10030820	Rheumatoid factor > 16 IU/mL	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN10030820	EFO_0005767	snpnet		GRCh37	456	0
PGS001107	GBE_BIN30030510	UACR > 30 mg/g	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN30030510	EFO_0007778	snpnet		GRCh37	1040	0
PGS001129	GBE_BIN_FC30022506	Tobacco smoking ever vs no	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC30022506	EFO_0006527	snpnet		GRCh37	974	0
PGS001286	GBE_BIN22126	Doctor diagnosed hayfever or allergic rhinitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN22126	EFO_0003785	snpnet		GRCh37	466	0
PGS001345	GBE_BIN22127	Doctor diagnosed asthma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN22127	EFO_0000270	snpnet		GRCh37	435	0
PGS001018	GBE_BIN_FC10006160	Leisure/social activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10006160	EFO_0009592	snpnet		GRCh37	2912	0
PGS001019	GBE_BIN_FC20006160	Leisure/social activities (attend sports club or gym in once a week or more often)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC20006160	EFO_0009592	snpnet		GRCh37	11361	0
PGS001020	GBE_BIN_FC50006160	Leisure/social activities (attend adult edication class in once a week or more often)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC50006160	EFO_0009592	snpnet		GRCh37	220	0
PGS001016	GBE_BIN1950	Sensitivity / hurt feelings	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN1950	EFO_0009599	snpnet		GRCh37	7922	0
PGS001021	GBE_BIN1980	Worrier / anxious feelings	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN1980	EFO_0009589|EFO_0009863	snpnet		GRCh37	9747	0
PGS001022	GBE_BIN2000	Worry too long after embarrassment	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN2000	EFO_0009589	snpnet		GRCh37	7714	0
PGS001017	GBE_BIN2010	Suffer from 'nerves'	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN2010	EFO_0009597	snpnet		GRCh37	3348	0
PGS001091	GBE_BIN2020	Loneliness, isolation	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN2020	EFO_0007865	snpnet		GRCh37	660	0
PGS001049	GBE_BIN2040	Risk taking	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN2040	EFO_0008579	snpnet		GRCh37	4299	0
	GBE_INI12144	Height	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI12144		snpnet		GRCh37	3166	0
PGS000969	GBE_INI20015	Sitting height	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI20015	EFO_0011011	snpnet		GRCh37	36345	0
PGS001228	GBE_INI21001	BMI	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI21001	EFO_0004340	snpnet		GRCh37	27126	0
PGS001230	GBE_INI21002	Weight	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI21002	EFO_0004338	snpnet		GRCh37	31222	0
PGS001101	GBE_INI23099	Body fat %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23099	EFO_0007800	snpnet		GRCh37	27396	0
PGS001149	GBE_INI23100	Whole body fat mass	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23100	EFO_0005409	snpnet		GRCh37	27550	0
PGS001169	GBE_INI23101	Whole body fat-free mass	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23101	EFO_0004995	snpnet		GRCh37	34486	0
PGS001002	GBE_INI23102	Whole body water mass	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23102	EFO_0009805	snpnet		GRCh37	35046	0
PGS001108	GBE_INI23105	Basal metabolic rate	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23105	EFO_0007777	snpnet		GRCh37	32154	0
PGS001161	GBE_INI23106	Impedance of whole body	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23106	EFO_0005106	snpnet		GRCh37	32218	0
PGS001157	GBE_INI23107	Impedance of leg (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23107	EFO_0005106	snpnet		GRCh37	30300	0
PGS001155	GBE_INI23108	Impedance of leg (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23108	EFO_0005106	snpnet		GRCh37	28999	0
PGS001156	GBE_INI23109	Impedance of arm (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23109	EFO_0005106	snpnet		GRCh37	30140	0
PGS001154	GBE_INI23110	Impedance of arm (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23110	EFO_0005106	snpnet		GRCh37	26740	0
PGS001104	GBE_INI23111	Leg fat % (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23111	EFO_0007800	snpnet		GRCh37	28163	0
PGS001147	GBE_INI23112	Leg fat mass (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23112	EFO_0005409	snpnet		GRCh37	23565	0
PGS001167	GBE_INI23113	Leg fat-free mass (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23113	EFO_0004995	snpnet		GRCh37	32046	0
PGS001159	GBE_INI23114	Leg pred. mass (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23114	EFO_0005106	snpnet		GRCh37	32103	0
PGS001103	GBE_INI23115	Leg fat % (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23115	EFO_0007800	snpnet		GRCh37	28134	0
PGS001166	GBE_INI23117	Leg fat-free mass (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23117	EFO_0004995	snpnet		GRCh37	30340	0
PGS001158	GBE_INI23118	Leg pred. mass (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23118	EFO_0005106	snpnet		GRCh37	30421	0
PGS001106	GBE_INI23119	Arm fat % (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23119	EFO_0007800	snpnet		GRCh37	23943	0
PGS001145	GBE_INI23120	Arm fat mass (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23120	EFO_0005409	snpnet		GRCh37	23528	0
PGS001146	GBE_INI23121	Arm fat-free mass (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23121	EFO_0005409	snpnet		GRCh37	29063	0
PGS001235	GBE_INI23122	Arm pred. mass (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23122	EFO_0004324	snpnet		GRCh37	28988	0
PGS001102	GBE_INI23123	Arm fat % (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23123	EFO_0007800	snpnet		GRCh37	25266	0
PGS001144	GBE_INI23124	Arm fat mass (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23124	EFO_0005409	snpnet		GRCh37	23676	0
PGS001165	GBE_INI23125	Arm fat-free mass (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23125	EFO_0004995	snpnet		GRCh37	30360	0
PGS001234	GBE_INI23126	Arm pred. mass (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23126	EFO_0004324	snpnet		GRCh37	30666	0
PGS001105	GBE_INI23127	Trunk fat %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23127	EFO_0007800	snpnet		GRCh37	25651	0
PGS001148	GBE_INI23128	Trunk fat mass	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23128	EFO_0005409	snpnet		GRCh37	29233	0
PGS001168	GBE_INI23129	Trunk fat-free mass	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23129	EFO_0004995	snpnet		GRCh37	34749	0
PGS001160	GBE_INI23130	Trunk pred. mass	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23130	EFO_0005106	snpnet		GRCh37	32685	0
PGS001227	GBE_INI48	Waist circumference	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI48	EFO_0004342	snpnet		GRCh37	25538	0
PGS001162	GBE_INI49	Hip circumference	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI49	EFO_0005093	snpnet		GRCh37	24605	0
PGS001229	GBE_INI50	Standing height	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI50	EFO_0004339	snpnet		GRCh37	51209	0
	GBE_INI23002	GE / gI antigen for Varicella Zoster Virus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23002		snpnet		GRCh37	5	0
PGS001036	GBE_INI23004	EBNA-1 antigen for Epstein-Barr Virus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23004	EFO_0009271	snpnet		GRCh37	38	0
	GBE_INI23005	ZEBRA antigen for Epstein-Barr Virus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23005		snpnet		GRCh37	158	0
	GBE_INI23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23022		snpnet		GRCh37	66	0
PGS001081	GBE_INI23027	JC VP1 antigen for Human Polyomavirus JCV	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23027	EFO_0007937	snpnet		GRCh37	9	0
PGS001082	GBE_INI23028	MC VP1 antigen for Merkel Cell Polyomavirus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI23028	EFO_0007937	snpnet		GRCh37	143	0
PGS001239	GBE_INI30000	White blood cell count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30000	EFO_0004308	snpnet		GRCh37	13785	0
PGS001240	GBE_INI30010	Red blood cell count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30010	EFO_0004305	snpnet		GRCh37	20480	0
	GBE_INI30020	Haemoglobin concentration	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30020		snpnet		GRCh37	15602	0
PGS001225	GBE_INI30030	Haematocrit %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30030	EFO_0004348	snpnet		GRCh37	15721	0
PGS001220	GBE_INI30040	Mean corpuscular volume	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30040	EFO_0004526	snpnet		GRCh37	17311	0
PGS001219	GBE_INI30050	Mean corpuscular haemoglobin	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30050	EFO_0004527	snpnet		GRCh37	13003	0
PGS001218	GBE_INI30060	Mean corpuscular haemoglobin concentration	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30060	EFO_0004528	snpnet		GRCh37	2359	0
PGS001152	GBE_INI30070	Red blood cell distribution width	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30070	EFO_0005192	snpnet		GRCh37	10179	0
PGS001238	GBE_INI30080	Platelet count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30080	EFO_0004309	snpnet		GRCh37	24893	0
	GBE_INI30090	Platelet crit	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30090		snpnet		GRCh37	20910	0
PGS001200	GBE_INI30100	Mean platelet volume	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30100	EFO_0004584	snpnet		GRCh37	24114	0
PGS001079	GBE_INI30110	Platelet distribution width	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30110	EFO_0007984	snpnet		GRCh37	18814	0
PGS001199	GBE_INI30120	Lymphocyte count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30120	EFO_0004587	snpnet		GRCh37	4212	0
PGS001163	GBE_INI30130	Monocyte count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30130	EFO_0005091	snpnet		GRCh37	9323	0
PGS001173	GBE_INI30140	Neutrophill count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30140	EFO_0004833	snpnet		GRCh37	15578	0
PGS001172	GBE_INI30150	Eosinophill count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30150	EFO_0004842	snpnet		GRCh37	12579	0
	GBE_INI30160	Basophill count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30160		snpnet		GRCh37	3050	0
	GBE_INI30180	Lymphocyte %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30180		snpnet		GRCh37	15143	0
PGS001078	GBE_INI30190	Monocyte %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30190	EFO_0007989	snpnet		GRCh37	8762	0
PGS001077	GBE_INI30200	Neutrophill %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30200	EFO_0007990	snpnet		GRCh37	13703	0
PGS001076	GBE_INI30210	Eosinophill %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30210	EFO_0007991	snpnet		GRCh37	12563	0
	GBE_INI30220	Basophill %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30220		snpnet		GRCh37	3205	0
PGS000989	GBE_INI30240	Reticulocyte %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30240	EFO_0010700	snpnet		GRCh37	6251	0
	GBE_INI30250	Reticulocyte count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30250		snpnet		GRCh37	6262	0
PGS000987	GBE_INI30260	Mean reticulocyte volume	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30260	EFO_0010701	snpnet		GRCh37	13277	0
	GBE_INI30280	Immature reticulocyte fraction	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30280		snpnet		GRCh37	10871	0
PGS000988	GBE_INI30290	High light scatter reticulocyte %	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30290	EFO_0010700	snpnet		GRCh37	7184	0
	GBE_INI30300	High light scatter reticulocyte count	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI30300		snpnet		GRCh37	15856	0
PGS001241	GBE_INI3143	Ankle spacing width	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI3143	EFO_0004302	snpnet		GRCh37	21694	0
