associated_score_name	sample_set	trait_name	AUROC	R2	other_mterics	covariates
GBE_HC987	HC987_african	TTE phlebitis and thrombophlebitis	0.63235 [0.59259, 0.67211]		Incremental AUROC (full-covars) = 0.00771, Nagelkerke's R2 = 0.02507, Tjur's R2 = 0.00560	age, sex, UKB array type, Genotype PCs
GBE_HC990	HC990_test	TTE varicose veins of lower extremities	0.61143 [0.60132, 0.62154]		Nagelkerke's R2 = 0.02091, Tjur's R2 = 0.00679	
GBE_HC990	HC990_test	TTE varicose veins of lower extremities	0.64564 [0.63595, 0.65534]		Incremental AUROC (full-covars) = 0.05082, Nagelkerke's R2 = 0.03681, Tjur's R2 = 0.01207	age, sex, UKB array type, Genotype PCs
GBE_HC990	HC990_non_british_white	TTE varicose veins of lower extremities	0.59749 [0.58043, 0.61455]		Nagelkerke's R2 = 0.01623, Tjur's R2 = 0.00514	
GBE_HC990	HC990_non_british_white	TTE varicose veins of lower extremities	0.65961 [0.64390, 0.67533]		Incremental AUROC (full-covars) = 0.02733, Nagelkerke's R2 = 0.04514, Tjur's R2 = 0.01472	age, sex, UKB array type, Genotype PCs
GBE_HC990	HC990_s_asian	TTE varicose veins of lower extremities	0.59602 [0.56097, 0.63107]		Nagelkerke's R2 = 0.01507, Tjur's R2 = 0.00405	
GBE_HC990	HC990_s_asian	TTE varicose veins of lower extremities	0.67693 [0.64508, 0.70878]		Incremental AUROC (full-covars) = 0.02832, Nagelkerke's R2 = 0.04959, Tjur's R2 = 0.01449	age, sex, UKB array type, Genotype PCs
GBE_HC990	HC990_e_asian	TTE varicose veins of lower extremities	0.64663 [0.54765, 0.74560]		Nagelkerke's R2 = 0.03496, Tjur's R2 = 0.00736	
GBE_HC990	HC990_e_asian	TTE varicose veins of lower extremities	0.69630 [0.60332, 0.78927]		Incremental AUROC (full-covars) = 0.06018, Nagelkerke's R2 = 0.06309, Tjur's R2 = 0.01673	age, sex, UKB array type, Genotype PCs
GBE_HC990	HC990_african	TTE varicose veins of lower extremities	0.52967 [0.47530, 0.58404]		Nagelkerke's R2 = 0.00107, Tjur's R2 = 0.00019	
GBE_HC990	HC990_african	TTE varicose veins of lower extremities	0.62136 [0.57332, 0.66940]		Incremental AUROC (full-covars) = -0.00473, Nagelkerke's R2 = 0.02314, Tjur's R2 = 0.00478	age, sex, UKB array type, Genotype PCs
GBE_FH1001	FH1001_test	Lung cancer (FH)	0.51047 [0.50596, 0.51498]		Nagelkerke's R2 = 0.00043, Tjur's R2 = 0.00031	
GBE_FH1001	FH1001_test	Lung cancer (FH)	0.58081 [0.57641, 0.58522]		Incremental AUROC (full-covars) = 0.00042, Nagelkerke's R2 = 0.02597, Tjur's R2 = 0.01882	age, sex, UKB array type, Genotype PCs
GBE_FH1001	FH1001_non_british_white	Lung cancer (FH)	0.51927 [0.51173, 0.52681]		Nagelkerke's R2 = 0.00154, Tjur's R2 = 0.00112	
GBE_FH1001	FH1001_non_british_white	Lung cancer (FH)	0.58684 [0.57949, 0.59418]		Incremental AUROC (full-covars) = 0.00084, Nagelkerke's R2 = 0.02847, Tjur's R2 = 0.02058	age, sex, UKB array type, Genotype PCs
GBE_FH1001	FH1001_s_asian	Lung cancer (FH)	0.50036 [0.48483, 0.51589]		Nagelkerke's R2 = 0.00000, Tjur's R2 = 0.00000	
GBE_FH1001	FH1001_s_asian	Lung cancer (FH)	0.55862 [0.54359, 0.57365]		Incremental AUROC (full-covars) = -0.00050, Nagelkerke's R2 = 0.01079, Tjur's R2 = 0.00698	age, sex, UKB array type, Genotype PCs
GBE_FH1001	FH1001_e_asian	Lung cancer (FH)	0.49250 [0.46136, 0.52364]		Nagelkerke's R2 = 0.00024, Tjur's R2 = 0.00016	
GBE_FH1001	FH1001_e_asian	Lung cancer (FH)	0.58500 [0.55514, 0.61486]		Incremental AUROC (full-covars) = -0.00236, Nagelkerke's R2 = 0.02833, Tjur's R2 = 0.01802	age, sex, UKB array type, Genotype PCs
GBE_FH1001	FH1001_african	Lung cancer (FH)	0.49231 [0.47576, 0.50886]		Nagelkerke's R2 = 0.00021, Tjur's R2 = 0.00014	
GBE_FH1001	FH1001_african	Lung cancer (FH)	0.58140 [0.56522, 0.59758]		Incremental AUROC (full-covars) = -0.00177, Nagelkerke's R2 = 0.02252, Tjur's R2 = 0.01512	age, sex, UKB array type, Genotype PCs
GBE_FH1002	FH1002_test	Breast cancer (FH)	0.52700 [0.52143, 0.53258]		Nagelkerke's R2 = 0.00220, Tjur's R2 = 0.00135	
GBE_FH1002	FH1002_test	Breast cancer (FH)	0.57389 [0.56837, 0.57941]		Incremental AUROC (full-covars) = 0.00514, Nagelkerke's R2 = 0.01618, Tjur's R2 = 0.01001	age, sex, UKB array type, Genotype PCs
GBE_FH1002	FH1002_non_british_white	Breast cancer (FH)	0.52353 [0.51419, 0.53286]		Nagelkerke's R2 = 0.00200, Tjur's R2 = 0.00124	
GBE_FH1002	FH1002_non_british_white	Breast cancer (FH)	0.57917 [0.56994, 0.58840]		Incremental AUROC (full-covars) = 0.00313, Nagelkerke's R2 = 0.01887, Tjur's R2 = 0.01179	age, sex, UKB array type, Genotype PCs
GBE_FH1002	FH1002_s_asian	Breast cancer (FH)	0.52221 [0.50250, 0.54191]		Nagelkerke's R2 = 0.00157, Tjur's R2 = 0.00084	
GBE_FH1002	FH1002_s_asian	Breast cancer (FH)	0.60464 [0.58531, 0.62397]		Incremental AUROC (full-covars) = 0.00261, Nagelkerke's R2 = 0.02766, Tjur's R2 = 0.01541	age, sex, UKB array type, Genotype PCs
GBE_FH1002	FH1002_e_asian	Breast cancer (FH)	0.56734 [0.52563, 0.60905]		Nagelkerke's R2 = 0.00910, Tjur's R2 = 0.00487	
GBE_FH1002	FH1002_e_asian	Breast cancer (FH)	0.60865 [0.56929, 0.64801]		Incremental AUROC (full-covars) = 0.01456, Nagelkerke's R2 = 0.03344, Tjur's R2 = 0.01843	age, sex, UKB array type, Genotype PCs
GBE_FH1002	FH1002_african	Breast cancer (FH)	0.50866 [0.48823, 0.52909]		Nagelkerke's R2 = 0.00016, Tjur's R2 = 0.00009	
GBE_FH1002	FH1002_african	Breast cancer (FH)	0.57882 [0.55950, 0.59814]		Incremental AUROC (full-covars) = 0.00262, Nagelkerke's R2 = 0.01774, Tjur's R2 = 0.00940	age, sex, UKB array type, Genotype PCs
GBE_FH1044	FH1044_test	Prostate cancer (FH)	0.54716 [0.53996, 0.55435]		Nagelkerke's R2 = 0.00542, Tjur's R2 = 0.00266	
GBE_FH1044	FH1044_test	Prostate cancer (FH)	0.58464 [0.57731, 0.59197]		Incremental AUROC (full-covars) = 0.01195, Nagelkerke's R2 = 0.01828, Tjur's R2 = 0.00951	age, sex, UKB array type, Genotype PCs
GBE_FH1044	FH1044_non_british_white	Prostate cancer (FH)	0.54869 [0.53677, 0.56062]		Nagelkerke's R2 = 0.00547, Tjur's R2 = 0.00273	
GBE_FH1044	FH1044_non_british_white	Prostate cancer (FH)	0.56572 [0.55380, 0.57764]		Incremental AUROC (full-covars) = 0.01702, Nagelkerke's R2 = 0.01155, Tjur's R2 = 0.00591	age, sex, UKB array type, Genotype PCs
GBE_FH1044	FH1044_s_asian	Prostate cancer (FH)	0.54379 [0.51540, 0.57217]		Nagelkerke's R2 = 0.00335, Tjur's R2 = 0.00112	
GBE_FH1044	FH1044_s_asian	Prostate cancer (FH)	0.60640 [0.57694, 0.63587]		Incremental AUROC (full-covars) = 0.00822, Nagelkerke's R2 = 0.02296, Tjur's R2 = 0.00879	age, sex, UKB array type, Genotype PCs
GBE_FH1044	FH1044_e_asian	Prostate cancer (FH)	0.48253 [0.41865, 0.54640]		Nagelkerke's R2 = 0.00143, Tjur's R2 = 0.00045	
GBE_FH1044	FH1044_e_asian	Prostate cancer (FH)	0.62093 [0.55962, 0.68225]		Incremental AUROC (full-covars) = -0.01226, Nagelkerke's R2 = 0.02796, Tjur's R2 = 0.00829	age, sex, UKB array type, Genotype PCs
GBE_FH1044	FH1044_african	Prostate cancer (FH)	0.51420 [0.49179, 0.53661]		Nagelkerke's R2 = 0.00029, Tjur's R2 = 0.00015	
GBE_FH1044	FH1044_african	Prostate cancer (FH)	0.61052 [0.58828, 0.63276]		Incremental AUROC (full-covars) = -0.00159, Nagelkerke's R2 = 0.03568, Tjur's R2 = 0.02132	age, sex, UKB array type, Genotype PCs
GBE_FH1065	FH1065_test	High BP (FH)	0.58323 [0.57889, 0.58758]		Nagelkerke's R2 = 0.02840, Tjur's R2 = 0.02107	
GBE_FH1065	FH1065_test	High BP (FH)	0.58650 [0.58217, 0.59084]		Incremental AUROC (full-covars) = 0.06315, Nagelkerke's R2 = 0.03045, Tjur's R2 = 0.02257	age, sex, UKB array type, Genotype PCs
GBE_FH1065	FH1065_non_british_white	High BP (FH)	0.57480 [0.56762, 0.58198]		Nagelkerke's R2 = 0.02262, Tjur's R2 = 0.01676	
GBE_FH1065	FH1065_non_british_white	High BP (FH)	0.58225 [0.57510, 0.58940]		Incremental AUROC (full-covars) = 0.04455, Nagelkerke's R2 = 0.02750, Tjur's R2 = 0.02034	age, sex, UKB array type, Genotype PCs
GBE_FH1065	FH1065_s_asian	High BP (FH)	0.57095 [0.55751, 0.58438]		Nagelkerke's R2 = 0.01922, Tjur's R2 = 0.01369	
GBE_FH1065	FH1065_s_asian	High BP (FH)	0.59484 [0.58159, 0.60810]		Incremental AUROC (full-covars) = 0.02450, Nagelkerke's R2 = 0.03610, Tjur's R2 = 0.02567	age, sex, UKB array type, Genotype PCs
GBE_FH1065	FH1065_e_asian	High BP (FH)	0.55693 [0.52875, 0.58511]		Nagelkerke's R2 = 0.01267, Tjur's R2 = 0.00936	
GBE_FH1065	FH1065_e_asian	High BP (FH)	0.58604 [0.55827, 0.61382]		Incremental AUROC (full-covars) = 0.02078, Nagelkerke's R2 = 0.03732, Tjur's R2 = 0.02674	age, sex, UKB array type, Genotype PCs
GBE_FH1065	FH1065_african	High BP (FH)	0.53126 [0.51539, 0.54713]		Nagelkerke's R2 = 0.00353, Tjur's R2 = 0.00243	
GBE_FH1065	FH1065_african	High BP (FH)	0.59339 [0.57784, 0.60894]		Incremental AUROC (full-covars) = -0.00542, Nagelkerke's R2 = 0.03128, Tjur's R2 = 0.02165	age, sex, UKB array type, Genotype PCs
GBE_FH1113	FH1113_test	Chronic bronchitis/emphysema (FH)	0.51589 [0.51075, 0.52103]		Nagelkerke's R2 = 0.00095, Tjur's R2 = 0.00063	
GBE_FH1113	FH1113_test	Chronic bronchitis/emphysema (FH)	0.58327 [0.57825, 0.58829]		Incremental AUROC (full-covars) = 0.00120, Nagelkerke's R2 = 0.02293, Tjur's R2 = 0.01515	age, sex, UKB array type, Genotype PCs
GBE_FH1113	FH1113_non_british_white	Chronic bronchitis/emphysema (FH)	0.52356 [0.51492, 0.53221]		Nagelkerke's R2 = 0.00203, Tjur's R2 = 0.00134	
GBE_FH1113	FH1113_non_british_white	Chronic bronchitis/emphysema (FH)	0.58850 [0.58009, 0.59692]		Incremental AUROC (full-covars) = 0.00247, Nagelkerke's R2 = 0.02565, Tjur's R2 = 0.01688	age, sex, UKB array type, Genotype PCs
GBE_FH1113	FH1113_s_asian	Chronic bronchitis/emphysema (FH)	0.50704 [0.48923, 0.52485]		Nagelkerke's R2 = 0.00013, Tjur's R2 = 0.00007	
GBE_FH1113	FH1113_s_asian	Chronic bronchitis/emphysema (FH)	0.54947 [0.53138, 0.56755]		Incremental AUROC (full-covars) = -0.00201, Nagelkerke's R2 = 0.00653, Tjur's R2 = 0.00370	age, sex, UKB array type, Genotype PCs
GBE_FH1113	FH1113_e_asian	Chronic bronchitis/emphysema (FH)	0.53681 [0.49409, 0.57952]		Nagelkerke's R2 = 0.00372, Tjur's R2 = 0.00198	
GBE_FH1113	FH1113_e_asian	Chronic bronchitis/emphysema (FH)	0.59763 [0.55526, 0.63999]		Incremental AUROC (full-covars) = 0.00659, Nagelkerke's R2 = 0.03241, Tjur's R2 = 0.01758	age, sex, UKB array type, Genotype PCs
GBE_FH1113	FH1113_african	Chronic bronchitis/emphysema (FH)	0.49207 [0.46984, 0.51430]		Nagelkerke's R2 = 0.00023, Tjur's R2 = 0.00012	
GBE_FH1113	FH1113_african	Chronic bronchitis/emphysema (FH)	0.55867 [0.53736, 0.57998]		Incremental AUROC (full-covars) = -0.00488, Nagelkerke's R2 = 0.01064, Tjur's R2 = 0.00568	age, sex, UKB array type, Genotype PCs
GBE_FH1220	FH1220_test	Diabetes (FH)	0.57283 [0.56773, 0.57794]		Nagelkerke's R2 = 0.01839, Tjur's R2 = 0.01246	
GBE_FH1220	FH1220_test	Diabetes (FH)	0.57463 [0.56952, 0.57975]		Incremental AUROC (full-covars) = 0.05803, Nagelkerke's R2 = 0.01929, Tjur's R2 = 0.01312	age, sex, UKB array type, Genotype PCs
GBE_FH1220	FH1220_non_british_white	Diabetes (FH)	0.56772 [0.55933, 0.57611]		Nagelkerke's R2 = 0.01623, Tjur's R2 = 0.01088	
GBE_FH1220	FH1220_non_british_white	Diabetes (FH)	0.58763 [0.57927, 0.59598]		Incremental AUROC (full-covars) = 0.03336, Nagelkerke's R2 = 0.02799, Tjur's R2 = 0.01943	age, sex, UKB array type, Genotype PCs
GBE_FH1220	FH1220_s_asian	Diabetes (FH)	0.57176 [0.55908, 0.58443]		Nagelkerke's R2 = 0.02309, Tjur's R2 = 0.01729	
GBE_FH1220	FH1220_s_asian	Diabetes (FH)	0.58336 [0.57075, 0.59597]		Incremental AUROC (full-covars) = 0.03694, Nagelkerke's R2 = 0.03022, Tjur's R2 = 0.02264	age, sex, UKB array type, Genotype PCs
GBE_FH1220	FH1220_e_asian	Diabetes (FH)	0.53656 [0.50824, 0.56489]		Nagelkerke's R2 = 0.00709, Tjur's R2 = 0.00510	
GBE_FH1220	FH1220_e_asian	Diabetes (FH)	0.56465 [0.53655, 0.59276]		Incremental AUROC (full-covars) = 0.02250, Nagelkerke's R2 = 0.02549, Tjur's R2 = 0.01753	age, sex, UKB array type, Genotype PCs
GBE_FH1220	FH1220_african	Diabetes (FH)	0.53127 [0.51708, 0.54547]		Nagelkerke's R2 = 0.00401, Tjur's R2 = 0.00300	
GBE_FH1220	FH1220_african	Diabetes (FH)	0.59818 [0.58435, 0.61201]		Incremental AUROC (full-covars) = 0.00441, Nagelkerke's R2 = 0.03720, Tjur's R2 = 0.02779	age, sex, UKB array type, Genotype PCs
GBE_FH1263	FH1263_test	Alzheimer's/dementia (FH)	0.55827 [0.55209, 0.56446]		Nagelkerke's R2 = 0.01188, Tjur's R2 = 0.00724	
GBE_FH1263	FH1263_test	Alzheimer's/dementia (FH)	0.60904 [0.60337, 0.61471]		Incremental AUROC (full-covars) = 0.02436, Nagelkerke's R2 = 0.03418, Tjur's R2 = 0.01935	age, sex, UKB array type, Genotype PCs
GBE_FH1263	FH1263_non_british_white	Alzheimer's/dementia (FH)	0.55082 [0.54030, 0.56135]		Nagelkerke's R2 = 0.00825, Tjur's R2 = 0.00487	
GBE_FH1263	FH1263_non_british_white	Alzheimer's/dementia (FH)	0.60962 [0.60006, 0.61918]		Incremental AUROC (full-covars) = 0.01629, Nagelkerke's R2 = 0.03194, Tjur's R2 = 0.01742	age, sex, UKB array type, Genotype PCs
GBE_FH1263	FH1263_s_asian	Alzheimer's/dementia (FH)	0.52129 [0.49619, 0.54640]		Nagelkerke's R2 = 0.00225, Tjur's R2 = 0.00098	
GBE_FH1263	FH1263_s_asian	Alzheimer's/dementia (FH)	0.58721 [0.56379, 0.61063]		Incremental AUROC (full-covars) = 0.00317, Nagelkerke's R2 = 0.01634, Tjur's R2 = 0.00701	age, sex, UKB array type, Genotype PCs
GBE_FH1263	FH1263_e_asian	Alzheimer's/dementia (FH)	0.55047 [0.49474, 0.60619]		Nagelkerke's R2 = 0.00988, Tjur's R2 = 0.00454	
GBE_FH1263	FH1263_e_asian	Alzheimer's/dementia (FH)	0.65316 [0.60391, 0.70242]		Incremental AUROC (full-covars) = 0.01325, Nagelkerke's R2 = 0.05029, Tjur's R2 = 0.02233	age, sex, UKB array type, Genotype PCs
GBE_FH1263	FH1263_african	Alzheimer's/dementia (FH)	0.50162 [0.47638, 0.52686]		Nagelkerke's R2 = 0.00019, Tjur's R2 = 0.00009	
GBE_FH1263	FH1263_african	Alzheimer's/dementia (FH)	0.60815 [0.58401, 0.63228]		Incremental AUROC (full-covars) = -0.00275, Nagelkerke's R2 = 0.02957, Tjur's R2 = 0.01481	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002492	BIN_FC10002492_test	Taking other prescription medications	0.53239 [0.52804, 0.53675]		Nagelkerke's R2 = 0.00443, Tjur's R2 = 0.00332	
GBE_BIN_FC10002492	BIN_FC10002492_test	Taking other prescription medications	0.61983 [0.61562, 0.62403]		Incremental AUROC (full-covars) = 0.00393, Nagelkerke's R2 = 0.05769, Tjur's R2 = 0.04347	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002492	BIN_FC10002492_non_british_white	Taking other prescription medications	0.53700 [0.52981, 0.54419]		Nagelkerke's R2 = 0.00551, Tjur's R2 = 0.00413	
GBE_BIN_FC10002492	BIN_FC10002492_non_british_white	Taking other prescription medications	0.64338 [0.63654, 0.65022]		Incremental AUROC (full-covars) = 0.00469, Nagelkerke's R2 = 0.08116, Tjur's R2 = 0.06121	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002492	BIN_FC10002492_s_asian	Taking other prescription medications	0.52005 [0.50697, 0.53313]		Nagelkerke's R2 = 0.00174, Tjur's R2 = 0.00130	
GBE_BIN_FC10002492	BIN_FC10002492_s_asian	Taking other prescription medications	0.65224 [0.63989, 0.66459]		Incremental AUROC (full-covars) = 0.00168, Nagelkerke's R2 = 0.09172, Tjur's R2 = 0.06965	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002492	BIN_FC10002492_e_asian	Taking other prescription medications	0.49407 [0.46467, 0.52347]		Nagelkerke's R2 = 0.00015, Tjur's R2 = 0.00011	
GBE_BIN_FC10002492	BIN_FC10002492_e_asian	Taking other prescription medications	0.63204 [0.60343, 0.66066]		Incremental AUROC (full-covars) = -0.00329, Nagelkerke's R2 = 0.06971, Tjur's R2 = 0.05094	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002492	BIN_FC10002492_african	Taking other prescription medications	0.50683 [0.49237, 0.52129]		Nagelkerke's R2 = 0.00017, Tjur's R2 = 0.00013	
GBE_BIN_FC10002492	BIN_FC10002492_african	Taking other prescription medications	0.62398 [0.61004, 0.63792]		Incremental AUROC (full-covars) = -0.00126, Nagelkerke's R2 = 0.06129, Tjur's R2 = 0.04597	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002986	BIN_FC10002986_test	Started insulin within one year diagnosis of diabetes	0.71086 [0.68153, 0.74018]		Nagelkerke's R2 = 0.12982, Tjur's R2 = 0.08720	
GBE_BIN_FC10002986	BIN_FC10002986_test	Started insulin within one year diagnosis of diabetes	0.74056 [0.71173, 0.76938]		Incremental AUROC (full-covars) = 0.09410, Nagelkerke's R2 = 0.17764, Tjur's R2 = 0.12782	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002986	BIN_FC10002986_non_british_white	Started insulin within one year diagnosis of diabetes	0.72657 [0.67703, 0.77611]		Nagelkerke's R2 = 0.17586, Tjur's R2 = 0.13138	
GBE_BIN_FC10002986	BIN_FC10002986_non_british_white	Started insulin within one year diagnosis of diabetes	0.80203 [0.75876, 0.84530]		Incremental AUROC (full-covars) = 0.05722, Nagelkerke's R2 = 0.28861, Tjur's R2 = 0.22124	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002986	BIN_FC10002986_s_asian	Started insulin within one year diagnosis of diabetes	0.58662 [0.53076, 0.64248]		Nagelkerke's R2 = 0.01621, Tjur's R2 = 0.00814	
GBE_BIN_FC10002986	BIN_FC10002986_s_asian	Started insulin within one year diagnosis of diabetes	0.62878 [0.57833, 0.67923]		Incremental AUROC (full-covars) = 0.02324, Nagelkerke's R2 = 0.03294, Tjur's R2 = 0.01536	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002986	BIN_FC10002986_e_asian	Started insulin within one year diagnosis of diabetes	0.29582 [0.14557, 0.44606]		Nagelkerke's R2 = 0.11116, Tjur's R2 = 0.04729	
GBE_BIN_FC10002986	BIN_FC10002986_e_asian	Started insulin within one year diagnosis of diabetes	0.71573 [0.51412, 0.91734]		Incremental AUROC (full-covars) = -0.09668, Nagelkerke's R2 = 0.15018, Tjur's R2 = 0.08694	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10002986	BIN_FC10002986_african	Started insulin within one year diagnosis of diabetes	0.54401 [0.48567, 0.60235]		Nagelkerke's R2 = 0.00453, Tjur's R2 = 0.00276	
GBE_BIN_FC10002986	BIN_FC10002986_african	Started insulin within one year diagnosis of diabetes	0.60570 [0.54935, 0.66205]		Incremental AUROC (full-covars) = 0.01803, Nagelkerke's R2 = 0.03335, Tjur's R2 = 0.02139	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_test	Hayfever allergic rhinitis or eczema	0.60988 [0.60494, 0.61483]		Nagelkerke's R2 = 0.04086, Tjur's R2 = 0.02757	
GBE_BIN_FC10006152	BIN_FC10006152_test	Hayfever allergic rhinitis or eczema	0.63735 [0.63250, 0.64220]		Incremental AUROC (full-covars) = 0.05347, Nagelkerke's R2 = 0.06354, Tjur's R2 = 0.04327	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_non_british_white	Hayfever allergic rhinitis or eczema	0.60011 [0.59191, 0.60831]		Nagelkerke's R2 = 0.03370, Tjur's R2 = 0.02275	
GBE_BIN_FC10006152	BIN_FC10006152_non_british_white	Hayfever allergic rhinitis or eczema	0.63382 [0.62577, 0.64186]		Incremental AUROC (full-covars) = 0.03904, Nagelkerke's R2 = 0.06149, Tjur's R2 = 0.04208	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_s_asian	Hayfever allergic rhinitis or eczema	0.58123 [0.56584, 0.59661]		Nagelkerke's R2 = 0.02118, Tjur's R2 = 0.01374	
GBE_BIN_FC10006152	BIN_FC10006152_s_asian	Hayfever allergic rhinitis or eczema	0.60105 [0.58571, 0.61640]		Incremental AUROC (full-covars) = 0.04131, Nagelkerke's R2 = 0.03149, Tjur's R2 = 0.02050	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_e_asian	Hayfever allergic rhinitis or eczema	0.55514 [0.52697, 0.58332]		Nagelkerke's R2 = 0.01108, Tjur's R2 = 0.00817	
GBE_BIN_FC10006152	BIN_FC10006152_e_asian	Hayfever allergic rhinitis or eczema	0.60170 [0.57412, 0.62927]		Incremental AUROC (full-covars) = 0.01162, Nagelkerke's R2 = 0.04656, Tjur's R2 = 0.03288	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_african	Hayfever allergic rhinitis or eczema	0.54180 [0.52577, 0.55784]		Nagelkerke's R2 = 0.00720, Tjur's R2 = 0.00494	
GBE_BIN_FC10006152	BIN_FC10006152_african	Hayfever allergic rhinitis or eczema	0.61140 [0.59586, 0.62694]		Incremental AUROC (full-covars) = 0.00507, Nagelkerke's R2 = 0.04366, Tjur's R2 = 0.03012	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002247	BIN_FC1002247_test	Hearing difficulty	0.54175 [0.53682, 0.54668]		Nagelkerke's R2 = 0.00632, Tjur's R2 = 0.00442	
GBE_BIN_FC1002247	BIN_FC1002247_test	Hearing difficulty	0.62552 [0.62077, 0.63026]		Incremental AUROC (full-covars) = 0.00726, Nagelkerke's R2 = 0.05561, Tjur's R2 = 0.03912	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002247	BIN_FC1002247_non_british_white	Hearing difficulty	0.53825 [0.52992, 0.54658]		Nagelkerke's R2 = 0.00515, Tjur's R2 = 0.00354	
GBE_BIN_FC1002247	BIN_FC1002247_non_british_white	Hearing difficulty	0.62276 [0.61470, 0.63082]		Incremental AUROC (full-covars) = 0.00532, Nagelkerke's R2 = 0.05160, Tjur's R2 = 0.03592	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002247	BIN_FC1002247_s_asian	Hearing difficulty	0.53126 [0.51459, 0.54793]		Nagelkerke's R2 = 0.00324, Tjur's R2 = 0.00202	
GBE_BIN_FC1002247	BIN_FC1002247_s_asian	Hearing difficulty	0.61668 [0.60019, 0.63317]		Incremental AUROC (full-covars) = 0.00291, Nagelkerke's R2 = 0.04334, Tjur's R2 = 0.02876	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002247	BIN_FC1002247_e_asian	Hearing difficulty	0.53605 [0.49383, 0.57827]		Nagelkerke's R2 = 0.00300, Tjur's R2 = 0.00161	
GBE_BIN_FC1002247	BIN_FC1002247_e_asian	Hearing difficulty	0.62831 [0.58912, 0.66750]		Incremental AUROC (full-covars) = 0.00338, Nagelkerke's R2 = 0.04992, Tjur's R2 = 0.02676	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002247	BIN_FC1002247_african	Hearing difficulty	0.52504 [0.50255, 0.54753]		Nagelkerke's R2 = 0.00162, Tjur's R2 = 0.00081	
GBE_BIN_FC1002247	BIN_FC1002247_african	Hearing difficulty	0.58714 [0.56491, 0.60938]		Incremental AUROC (full-covars) = 0.00082, Nagelkerke's R2 = 0.01786, Tjur's R2 = 0.00937	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002306	BIN_FC1002306_test	Weight change compared with 1 year ago	0.52950 [0.52510, 0.53390]		Nagelkerke's R2 = 0.00376, Tjur's R2 = 0.00282	
GBE_BIN_FC1002306	BIN_FC1002306_test	Weight change compared with 1 year ago	0.58453 [0.58020, 0.58886]		Incremental AUROC (full-covars) = 0.00463, Nagelkerke's R2 = 0.02896, Tjur's R2 = 0.02173	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002306	BIN_FC1002306_non_british_white	Weight change compared with 1 year ago	0.52890 [0.52165, 0.53616]		Nagelkerke's R2 = 0.00365, Tjur's R2 = 0.00273	
GBE_BIN_FC1002306	BIN_FC1002306_non_british_white	Weight change compared with 1 year ago	0.57635 [0.56917, 0.58352]		Incremental AUROC (full-covars) = 0.00533, Nagelkerke's R2 = 0.02324, Tjur's R2 = 0.01742	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002306	BIN_FC1002306_s_asian	Weight change compared with 1 year ago	0.50809 [0.49482, 0.52135]		Nagelkerke's R2 = 0.00024, Tjur's R2 = 0.00018	
GBE_BIN_FC1002306	BIN_FC1002306_s_asian	Weight change compared with 1 year ago	0.60517 [0.59225, 0.61809]		Incremental AUROC (full-covars) = -0.00065, Nagelkerke's R2 = 0.04456, Tjur's R2 = 0.03355	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002306	BIN_FC1002306_e_asian	Weight change compared with 1 year ago	0.53616 [0.50750, 0.56482]		Nagelkerke's R2 = 0.00719, Tjur's R2 = 0.00535	
GBE_BIN_FC1002306	BIN_FC1002306_e_asian	Weight change compared with 1 year ago	0.59942 [0.57137, 0.62747]		Incremental AUROC (full-covars) = 0.00968, Nagelkerke's R2 = 0.04761, Tjur's R2 = 0.03512	age, sex, UKB array type, Genotype PCs
GBE_BIN_FC1002306	BIN_FC1002306_african	Weight change compared with 1 year ago	0.50745 [0.49252, 0.52238]		Nagelkerke's R2 = 0.00038, Tjur's R2 = 0.00028	
GBE_BIN_FC1002306	BIN_FC1002306_african	Weight change compared with 1 year ago	0.62073 [0.60627, 0.63518]		Incremental AUROC (full-covars) = -0.00001, Nagelkerke's R2 = 0.05769, Tjur's R2 = 0.04336	age, sex, UKB array type, Genotype PCs
