#trait	trait_name	trait_category	trait_category_plot	family
HC68	Disorder of adrenal gland	Disease_outcome	Disease outcome	binomial
HC685	TTE deficiency of other nutrient elements	Disease_outcome	Disease outcome	binomial
HC689	TTE obesity	Disease_outcome	Disease outcome	binomial
HC700	TTE disorders of lipoprotein metabolism and other lipidaemias	Disease_outcome	Disease outcome	binomial
HC702	TTE disorders of porphyrin and bilirubin metabolism	Disease_outcome	Disease outcome	binomial
HC703	TTE disorders of mineral metabolism	Disease_outcome	Disease outcome	binomial
HC707	TTE other disorders of fluid, electrolyte and acid-base balance	Disease_outcome	Disease outcome	binomial
HC708	TTE other metabolic disorders	Disease_outcome	Disease outcome	binomial
HC709	TTE postprocedural endocrine and metabolic disorders, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC710	TTE dementia in alzheimer's disease	Disease_outcome	Disease outcome	binomial
HC711	TTE vascular dementia	Disease_outcome	Disease outcome	binomial
HC712	TTE dementia in other diseases classified elsewhere	Disease_outcome	Disease outcome	binomial
HC713	TTE unspecified dementia	Disease_outcome	Disease outcome	binomial
HC715	TTE delirium, not induced by alcohol and other psychoactive substances	Disease_outcome	Disease outcome	binomial
HC720	TTE mental and behavioural disorders due to use of opioids	Disease_outcome	Disease outcome	binomial
HC734	TTE schizoaffective disorders	Disease_outcome	Disease outcome	binomial
HC74	Female infertility	Disease_outcome	Disease outcome	binomial
HC746	TTE obsessive-compulsive disorder	Disease_outcome	Disease outcome	binomial
HC747	TTE reaction to severe stress, and adjustment disorders	Disease_outcome	Disease outcome	binomial
HC78	Arthritis (nos)	Disease_outcome	Disease outcome	binomial
HC784	TTE other behavioural and emotional disorders with onset usually occurring in childhood an	Disease_outcome	Disease outcome	binomial
HC792	TTE intracranial and intraspinal abscess and granuloma	Disease_outcome	Disease outcome	binomial
HC8	Gall bladder disease	Disease_outcome	Disease outcome	binomial
HC807	TTE alzheimer's disease	Disease_outcome	Disease outcome	binomial
HC808	TTE other degenerative diseases of nervous system, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC810	TTE multiple sclerosis	Disease_outcome	Disease outcome	binomial
HC812	TTE other demyelinating diseases of central nervous system	Disease_outcome	Disease outcome	binomial
HC815	TTE migraine	Disease_outcome	Disease outcome	binomial
HC818	TTE vascular syndromes of brain in cerebrovascular diseases	Disease_outcome	Disease outcome	binomial
HC824	TTE nerve root and plexus disorders	Disease_outcome	Disease outcome	binomial
HC83	Fracture forearm / wrist	Disease_outcome	Disease outcome	binomial
HC830	TTE hereditary and idiopathic neuropathy	Disease_outcome	Disease outcome	binomial
HC831	TTE inflammatory polyneuropathy	Disease_outcome	Disease outcome	binomial
HC84	Pulmonary fibrosis	Disease_outcome	Disease outcome	binomial
HC840	TTE hemiplegia	Disease_outcome	Disease outcome	binomial
HC842	TTE other paralytic syndromes	Disease_outcome	Disease outcome	binomial
HC846	TTE other disorders of brain	Disease_outcome	Disease outcome	binomial
HC85	Enlarged prostate	Disease_outcome	Disease outcome	binomial
HC857	TTE disorders of lachrymal system	Disease_outcome	Disease outcome	binomial
HC859	TTE disorders of lachrymal system and orbit in diseases classified elsewhere	Disease_outcome	Disease outcome	binomial
HC86	Migraine	Disease_outcome	Disease outcome	binomial
HC861	TTE other disorders of conjunctiva	Disease_outcome	Disease outcome	binomial
HC865	TTE corneal scars and opacities	Disease_outcome	Disease outcome	binomial
HC866	TTE other disorders of cornea	Disease_outcome	Disease outcome	binomial
HC868	TTE iridocyclitis	Disease_outcome	Disease outcome	binomial
HC87	Spina bifida	Disease_outcome	Disease outcome	binomial
HC872	TTE other cataract	Disease_outcome	Disease outcome	binomial
HC878	TTE retinal detachments and breaks	Disease_outcome	Disease outcome	binomial
HC88	Heart/cardiac problem	Disease_outcome	Disease outcome	binomial
HC880	TTE other retinal disorders	Disease_outcome	Disease outcome	binomial
HC881	TTE retinal disorders in diseases classified elsewhere	Disease_outcome	Disease outcome	binomial
HC882	TTE glaucoma	Disease_outcome	Disease outcome	binomial
HC885	TTE disorders of globe	Disease_outcome	Disease outcome	binomial
HC887	TTE optic neuritis	Disease_outcome	Disease outcome	binomial
HC895	TTE blindness and low vision	Disease_outcome	Disease outcome	binomial
HC9	Renal failure not requiring dialysis	Disease_outcome	Disease outcome	binomial
HC900	TTE otitis externa	Disease_outcome	Disease outcome	binomial
HC906	TTE eustachian salpingitis and obstruction	Disease_outcome	Disease outcome	binomial
HC909	TTE cholesteatoma of middle ear	Disease_outcome	Disease outcome	binomial
HC91	Psoriatic arthropathy	Disease_outcome	Disease outcome	binomial
HC911	TTE other disorders of tympanic membrane	Disease_outcome	Disease outcome	binomial
HC914	TTE otosclerosis	Disease_outcome	Disease outcome	binomial
HC915	TTE disorders of vestibular function	Disease_outcome	Disease outcome	binomial
HC918	TTE conductive and sensorineural hearing loss	Disease_outcome	Disease outcome	binomial
HC92	Allergy to elastoplast	Disease_outcome	Disease outcome	binomial
HC93	Dry eyes	Disease_outcome	Disease outcome	binomial
HC932	TTE essential (primary hypertension)	Disease_outcome	Disease outcome	binomial
HC937	TTE angina pectoris	Disease_outcome	Disease outcome	binomial
HC938	TTE acute myocardial infarction	Disease_outcome	Disease outcome	binomial
HC941	TTE other acute ischaemic heart diseases	Disease_outcome	Disease outcome	binomial
HC942	TTE chronic ischaemic heart disease	Disease_outcome	Disease outcome	binomial
HC943	TTE PE	Disease_outcome	Disease outcome	binomial
HC95	Inflammatory bowel disease	Disease_outcome	Disease outcome	binomial
HC951	TTE nonrheumatic aortic valve disorders	Disease_outcome	Disease outcome	binomial
HC96	Polymyalgia rheumatica	Disease_outcome	Disease outcome	binomial
HC964	TTE atrial fibrillation and flutter	Disease_outcome	Disease outcome	binomial
HC965	TTE other cardiac arrhythmias	Disease_outcome	Disease outcome	binomial
HC966	TTE heart failure	Disease_outcome	Disease outcome	binomial
HC967	TTE complications and ill-defined descriptions of heart disease	Disease_outcome	Disease outcome	binomial
HC972	TTE cerebral infarction	Disease_outcome	Disease outcome	binomial
HC980	TTE aortic aneurysm and dissection	Disease_outcome	Disease outcome	binomial
HC981	TTE other aneurysm	Disease_outcome	Disease outcome	binomial
HC982	TTE other peripheral vascular diseases	Disease_outcome	Disease outcome	binomial
HC983	TTE arterial embolism and thrombosis	Disease_outcome	Disease outcome	binomial
HC984	TTE other disorders of arteries and arterioles	Disease_outcome	Disease outcome	binomial
HC987	TTE phlebitis and thrombophlebitis	Disease_outcome	Disease outcome	binomial
HC990	TTE varicose veins of lower extremities	Disease_outcome	Disease outcome	binomial
HC992	TTE oesophageal varices	Disease_outcome	Disease outcome	binomial
HC998	TTE postprocedural disorders of circulatory system, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC999	TTE other disorders of circulatory system in diseases classified elsewhere	Disease_outcome	Disease outcome	binomial
BIN_FC10001797	Father still alive	Family_history	Family history	binomial
BIN_FC10001835	Mother still alive	Family_history	Family history	binomial
FH1001	Lung cancer (FH)	Family_history	Family history	binomial
FH1002	Breast cancer (FH)	Family_history	Family history	binomial
FH1019	Bowel cancer (FH)	Family_history	Family history	binomial
FH1044	Prostate cancer (FH)	Family_history	Family history	binomial
FH1065	High BP (FH)	Family_history	Family history	binomial
FH1113	Chronic bronchitis/emphysema (FH)	Family_history	Family history	binomial
FH1220	Diabetes (FH)	Family_history	Family history	binomial
FH1263	Alzheimer's/dementia (FH)	Family_history	Family history	binomial
FH1286	Severe depression (FH)	Family_history	Family history	binomial
BIN_FC10002492	Taking other prescription medications	Health_and_medical_history	Health and medical history	binomial
BIN_FC10002986	Started insulin within one year diagnosis of diabetes	Health_and_medical_history	Health and medical history	binomial
BIN_FC10005518	Leg pain on walking : effect of standing still (Pain usually continues for more than 10 minutes)	Health_and_medical_history	Health and medical history	binomial
BIN_FC10005855	Which eye(s) affected by astigmatism (Right eye)	Health_and_medical_history	Health and medical history	binomial
BIN_FC10005934	Which eye(s) affected by other serious eye condition (Right eye)	Health_and_medical_history	Health and medical history	binomial
BIN_FC10006151	Fractured bone site(s) (Ankle)	Health_and_medical_history	Health and medical history	binomial
BIN_FC10006152	Hayfever allergic rhinitis or eczema	Health_and_medical_history	Health and medical history	binomial
BIN_FC10006179	Zinc supplements	Health_and_medical_history	Health and medical history	binomial
BIN_FC1002247	Hearing difficulty	Health_and_medical_history	Health and medical history	binomial
BIN_FC1002306	Weight change compared with 1 year ago	Health_and_medical_history	Health and medical history	binomial
BIN_FC1006148	Eye problems/disorders Diabetic eye disease	Health_and_medical_history	Health and medical history	binomial
BIN_FC1006149	Mouth ulcers	Health_and_medical_history	Health and medical history	binomial
BIN_FC1006150	Vascular/heart problems diagnosed by doctor Heart attack	Health_and_medical_history	Health and medical history	binomial
BIN_FC1006152	DVT diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial
BIN_FC1006154	Aspirin	Health_and_medical_history	Health and medical history	binomial
BIN_FC11006152	Blood clot or DVT diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial
BIN_FC11006179	Iron supplements	Health_and_medical_history	Health and medical history	binomial
BIN_FC12006152	Blood clot in the leg (DVT) or lung	Health_and_medical_history	Health and medical history	binomial
BIN_FC12006155	Vitamin B9 vs multivitamin	Health_and_medical_history	Health and medical history	binomial
BIN_FC15006155	Vitamin C	Health_and_medical_history	Health and medical history	binomial
BIN_FC18006155	Folic acid or folate (Vitamin B9)	Health_and_medical_history	Health and medical history	binomial
BIN_FC20005441	Which eye(s) are affected by cataract (Left eye)	Health_and_medical_history	Health and medical history	binomial
BIN_FC20005507	Leg pain on walking : action taken (Slow down)	Health_and_medical_history	Health and medical history	binomial
BIN_FC20005518	Leg pain on walking : effect of standing still (Pain usually disappears in less than 10 minutes)	Health_and_medical_history	Health and medical history	binomial
BIN_FC20005843	Which eye(s) affected by myopia (short sight) (Left eye)	Health_and_medical_history	Health and medical history	binomial
BIN_FC20006119	Which eye(s) affected by glaucoma (Left eye)	Health_and_medical_history	Health and medical history	binomial
BIN_FC2006148	Eye problems/disorders Glaucoma	Health_and_medical_history	Health and medical history	binomial
BIN_FC2006150	Vascular/heart problems diagnosed by doctor Angina	Health_and_medical_history	Health and medical history	binomial
BIN_FC2006154	Ibuprofen (e.g. Nurofen)	Health_and_medical_history	Health and medical history	binomial
BIN_FC2006155	Vitamin B vs no supplement	Health_and_medical_history	Health and medical history	binomial
BIN_FC2006179	Glucosamine	Health_and_medical_history	Health and medical history	binomial
BIN_FC30005507	Leg pain on walking : action taken (Continue at same pace)	Health_and_medical_history	Health and medical history	binomial
BIN_FC3002247	Hearing difficulty and Deafness	Health_and_medical_history	Health and medical history	binomial
BIN_FC3006152	Blood clot diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial
BIN_FC3006155	Vitamin C vs no supplement	Health_and_medical_history	Health and medical history	binomial
BIN_FC40006151	Fractured bone site(s) (Spine)	Health_and_medical_history	Health and medical history	binomial
BIN_FC4006148	Eye problems/disorders Cataract	Health_and_medical_history	Health and medical history	binomial
BIN_FC4006149	Loose teeth	Health_and_medical_history	Health and medical history	binomial
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	Health_and_medical_history	Health and medical history	binomial
BIN_FC4006152	Asthma diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial
BIN_FC5006148	Eye problems/disorders Macular degeneration	Health_and_medical_history	Health and medical history	binomial
BIN_FC5006149	Toothache	Health_and_medical_history	Health and medical history	binomial
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial
BIN_FC6006149	Dentures	Health_and_medical_history	Health and medical history	binomial
BIN_FC6006152	Blood clot in the leg (DVT)	Health_and_medical_history	Health and medical history	binomial
BIN_FC6006155	Vitamin B9 vs no supplement	Health_and_medical_history	Health and medical history	binomial
BIN_FC7006152	Emphysema or chronic bronchitis	Health_and_medical_history	Health and medical history	binomial
BIN_FC7006154	Aspirin use self-reported	Health_and_medical_history	Health and medical history	binomial
BIN_FC7006155	Vitamin A vs multivitamin	Health_and_medical_history	Health and medical history	binomial
BIN_FC8006152	Blood clot in the lung	Health_and_medical_history	Health and medical history	binomial
BIN_FC8006154	Ibuprofen use self-reported	Health_and_medical_history	Health and medical history	binomial
BIN_FC8006179	Glucosamine supplements	Health_and_medical_history	Health and medical history	binomial
BIN_FC9006154	Paracetamol use self-reported	Health_and_medical_history	Health and medical history	binomial
BIN_FC9006179	Calcium supplements	Health_and_medical_history	Health and medical history	binomial
BIN3606	Chest pain or discomfort walking normally	Health_and_medical_history	Health and medical history	binomial
BIN3616	Chest pain due to walking ceases when standing still	Health_and_medical_history	Health and medical history	binomial
BIN3751	Chest pain or discomfort when walking uphill or hurrying	Health_and_medical_history	Health and medical history	binomial
BIN5452	Leg pain when standing still or sitting	Health_and_medical_history	Health and medical history	binomial
BIN5474	Leg pain when walking uphill or hurrying	Health_and_medical_history	Health and medical history	binomial
BIN5485	Leg pain when walking normally	Health_and_medical_history	Health and medical history	binomial
BIN_FC10001538	Major dietary changes in the last 5 years becuase of illness	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC10001628	Alcohol intake versus 10 years previously (More nowadays)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC10001727	Ease of skin tanning (Get very tanned)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC10001757	Facial ageing (Younger than you are)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC10002267	Use of sun/uv protection (Never/rarely)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC10002644	Light smokers, at least 100 smokes in lifetime	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC1001747	Hair colour (natural, before greying) blonde	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC10020116	Never Smoker	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC1006144	Never eat eggs	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20001249	Past tobacco smoking (Smoked occasionally)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20001428	Spread type: Butter/spreadable butter	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20001448	Bread type: Brown	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20001468	Cereal type: Biscuit cereal (e.g. Weetabix)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20001508	Coffee type: Instant coffee	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20001757	Facial ageing (Older than you are)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20002267	Use of sun/uv protection (Sometimes)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20006157	Why stopped smoking doctor advice	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC2001747	Hair colour (natural, before greying) red	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC20020116	Previous Smoker	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30001418	Milk type: Skimmed	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30001508	Coffee type: Ground coffee (include espresso, filter etc)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30001757	Facial ageing (About your age)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30002267	Use of sun/uv protection (Most of the time)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30002654	Non-butter spread type: Olive oil based spread (eg: Bertolli)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30003446	Type of tobacco currently smoked (cigars or pipes)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30003486	Ever tried to stop smoking succeeded vs no	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC30006164	Types of physical activity in last 4 weeks (other exercises)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC3001747	Hair colour (natural, before greying) light brown	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC3006144	Never eat wheat	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC40001249	Past tobacco smoking (Smoked at least once)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC40001448	Bread type: Other type of bread	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC40001468	Cereal type: Muesli	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC40001508	Coffee type: Other type of coffee	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC40002267	Use of sun/uv protection (Always)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC40002654	Non-butter spread type: Polyunsaturated/sunflower oil based spread (eg: Flora)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC4001747	Hair colour (natural, before greying) dark brown	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC4006144	Never eat sugar	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC50001468	Cereal type: Other (e.g. Cornflakes, Frosties)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC50002267	Use of sun/uv protection (Do not go out in sunshine)	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC5001747	Hair colour (natural, before greying) black	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC6001747	Hair colour (natural, before greying) other	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN_FC7001747	Hair colour (natural, before greying) brown	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN1210	Snoring	Lifestyle_and_environment	Lifestyle and environment	binomial
BIN23051	HSV-2 seropositivity for Herpes Simplex virus-2	Blood_assays	Others	binomial
BIN23054	CMV seropositivity for Human Cytomegalovirus	Blood_assays	Others	binomial
BIN23055	HHV-6 overall seropositivity for Human Herpesvirus-6	Blood_assays	Others	binomial
BIN23056	HHV-6A seropositivity for Human Herpesvirus-6	Blood_assays	Others	binomial
BIN23059	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	Blood_assays	Others	binomial
BIN23063	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	Blood_assays	Others	binomial
BIN23065	BKV seropositivity for Human Polyomavirus BKV	Blood_assays	Others	binomial
BIN23066	JCV seropositivity for Human Polyomavirus JCV	Blood_assays	Others	binomial
BIN23067	MCV seropositivity for Merkel Cell Polyomavirus	Blood_assays	Others	binomial
BIN23068	HPV 16 Definition I seropositivity for Human Papillomavirus type-16	Blood_assays	Others	binomial
BIN23069	HPV 18 seropositivity for Human Papillomavirus type-18	Blood_assays	Others	binomial
BIN23070	C. trachomatis Definition I seropositivity for Chlamydia trachomatis	Blood_assays	Others	binomial
BIN23073	H. pylori Definition I seropositivity for Helicobacter pylori	Blood_assays	Others	binomial
BIN23075	HPV 16 Definition II seropositivity for Human Papillomavirus type-16	Blood_assays	Others	binomial
BIN4093	Fractured heel (L)	Bone-densitometry_of_heel	Others	binomial
BIN12139	Believed safe to perform brain MRI scan	Brain_MRI	Others	binomial
BIN12188	Brain MRI measurement completed	Brain_MRI	Others	binomial
BIN100240	Coffee consumed	Diet_by_24-hour_recall	Others	binomial
BIN100580	Alcohol consumed	Diet_by_24-hour_recall	Others	binomial
BIN102080	Yogurt/ice-cream consumers	Diet_by_24-hour_recall	Others	binomial
BIN102800	Cheese consumers	Diet_by_24-hour_recall	Others	binomial
BIN102930	Egg consumers	Diet_by_24-hour_recall	Others	binomial
BIN104400	Fruit consumers	Diet_by_24-hour_recall	Others	binomial
BIN21027	Abdominal discomfort/pain for 6 months or longer	Digestive_health	Others	binomial
BIN21035	Currently (in last 3 months) suffer from abdominal pain	Digestive_health	Others	binomial
BIN21038	Currently suffer from abdominal distension	Digestive_health	Others	binomial
BIN21068	Diagnosed with coeliac disease or gluten sensitivity	Digestive_health	Others	binomial
BIN21071	Infectious illness diagnosis status when IBS symptoms first began	Digestive_health	Others	binomial
BIN21073	Fever when IBS symptoms first began	Digestive_health	Others	binomial
BIN21075	Bloody diarrhoea when IBS symptoms first began	Digestive_health	Others	binomial
BIN_FC10001707	Handedness (chirality/laterality) (Right-handed)	Early_life_factors	Others	binomial
BIN_FC1005164	3mm regularity index for irregular astigmatism level (R)	Eye_measures	Others	binomial
BIN_FC20006074	Glasses worn elsewhere (right eye) besides during visual acuity test	Eye_measures	Others	binomial
BIN5181	Ever had eye surgery	Eye_measures	Others	binomial
BIN5324	Ever had cataract surgery	Eye_measures	Others	binomial
BIN5326	Ever had surgery for glaucoma or high eye pressure	Eye_measures	Others	binomial
BIN5328	Ever had corneal graft surgery	Eye_measures	Others	binomial
BIN41215	Detention categories	Hospital_inpatient	Others	binomial
BIN_FC100020544	Bulimia nervosa diagnosed by  a professional	Mental_health	Others	binomial
BIN_FC10020487	Never felt hated by family member as a child	Mental_health	Others	binomial
BIN_FC10020488	Never Physically abused by family as a child	Mental_health	Others	binomial
BIN_FC10020490	Never Sexually molested as a child	Mental_health	Others	binomial
BIN_FC10020523	Never Physical violence by partner or ex-partner as an adult	Mental_health	Others	binomial
BIN_FC10020536	Weight changed during worst episode of depression	Mental_health	Others	binomial
BIN_FC10020552	Other non-behavioral addiction	Mental_health	Others	binomial
BIN_FC20020487	Rarely Felt hated by family member as a child	Mental_health	Others	binomial
BIN_FC20020492	Longest period of mania or irritability at least a day but less than a week	Mental_health	Others	binomial
BIN_FC20020522	Rarely Been in a confiding relationship as an adult	Mental_health	Others	binomial
BIN_FC20020526	Been in a serious accident believed to be life-threatening not within the last 12 months	Mental_health	Others	binomial
BIN_FC20020537	Sometimes has difficulty controlling worry during worst period of anxiety	Mental_health	Others	binomial
BIN_FC20020548	Manifestations of mania or irritability More restless vs any	Mental_health	Others	binomial
BIN_FC30020487	Sometimes Felt hated by family member as a child	Mental_health	Others	binomial
BIN_FC30020492	Longest period of mania or irritability a week or more	Mental_health	Others	binomial
BIN_FC30020523	Sometimes Physical violence by partner or ex-partner as an adult	Mental_health	Others	binomial
BIN_FC30020537	Often has difficulty controlling worry during worst period of anxiety	Mental_health	Others	binomial
BIN_FC30020539	Often has inability to stop worry during worst period of anxiety	Mental_health	Others	binomial
BIN_FC40020489	Often felt loved as a child	Mental_health	Others	binomial
BIN_FC40020525	Often Able to pay rent/mortgage as an adult	Mental_health	Others	binomial
BIN_FC40020537	Never has difficulty controlling worry during worst period of anxiety	Mental_health	Others	binomial
BIN_FC40020539	Never has inability to stop worry during worst period of anxiety	Mental_health	Others	binomial
BIN_FC40020544	Other personality disorder diagnosed by  a professional	Mental_health	Others	binomial
BIN_FC50020488	Very Often Physically abused by family as a child	Mental_health	Others	binomial
BIN_FC50020544	Phobia diagnosed by  a professional	Mental_health	Others	binomial
BIN_FC80020548	Manifestations of mania or irritability More active vs any	Mental_health	Others	binomial
BIN1020483	Ever attempted suicide missing is control	Mental_health	Others	binomial
BIN20406	Ever addicted to alcohol	Mental_health	Others	binomial
BIN20417	Tense, sore, or aching muscles during worst period of anxiety	Mental_health	Others	binomial
BIN20419	Difficulty concentrating during worst period of anxiety	Mental_health	Others	binomial
BIN20428	Professional informed about anxiety	Mental_health	Others	binomial
BIN20431	Ever addicted to a behaviour or miscellanous	Mental_health	Others	binomial
BIN20437	Thoughts of death during worst depression	Mental_health	Others	binomial
BIN20496	Mania needed treatment or caused problems with work, relationships, finances, the law, or other aspects of life	Mental_health	Others	binomial
BIN20500	Ever suffered mental distress preventing usual activities	Mental_health	Others	binomial
BIN20532	Did your sleep change?	Mental_health	Others	binomial
BIN20534	Sleeping too much	Mental_health	Others	binomial
BIN20538	Worried most days during period of worst anxiety	Mental_health	Others	binomial
BIN20540	Multiple worries during worst period of anxiety	Mental_health	Others	binomial
BIN10030500	Microalbumin > 40 mg/L	Others	Others	binomial
BIN10030800	Oestradiol > 212 pmol/L	Others	Others	binomial
BIN10030820	Rheumatoid factor > 16 IU/mL	Others	Others	binomial
BIN30030510	UACR > 30 mg/g	Others	Others	binomial
BIN_FC10022506	Tobacco smoking current vs non	Work_environment	Others	binomial
BIN_FC20022506	Tobacco smoking current vs past	Work_environment	Others	binomial
BIN_FC30022506	Tobacco smoking ever vs no	Work_environment	Others	binomial
BIN22126	Doctor diagnosed hayfever or allergic rhinitis	Work_environment	Others	binomial
BIN22127	Doctor diagnosed asthma	Work_environment	Others	binomial
BIN22133	Doctor diagnosed sarcoidosis	Work_environment	Others	binomial
BIN22502	Cough on most days	Work_environment	Others	binomial
BIN22504	Bring up phlegm/sputum/mucus on most days	Work_environment	Others	binomial
BIN_FC10006160	Leisure/social activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)	Psychosocial_factors	Psychosocial factors	binomial
BIN_FC20006156	Manic/hyper symptoms (I was more talkative than usual)	Psychosocial_factors	Psychosocial factors	binomial
BIN_FC20006160	Leisure/social activities (attend sports club or gym in once a week or more often)	Psychosocial_factors	Psychosocial factors	binomial
BIN_FC30006156	Manic/hyper symptoms (I needed less sleep than usual)	Psychosocial_factors	Psychosocial factors	binomial
BIN_FC50006160	Leisure/social activities (attend adult edication class in once a week or more often)	Psychosocial_factors	Psychosocial factors	binomial
BIN_FC50020126	Bipolar and major depression status probable depression (moderate)	Psychosocial_factors	Psychosocial factors	binomial
BIN1950	Sensitivity / hurt feelings	Psychosocial_factors	Psychosocial factors	binomial
BIN1980	Worrier / anxious feelings	Psychosocial_factors	Psychosocial factors	binomial
BIN2000	Worry too long after embarrassment	Psychosocial_factors	Psychosocial factors	binomial
BIN2010	Suffer from 'nerves'	Psychosocial_factors	Psychosocial factors	binomial
BIN2020	Loneliness, isolation	Psychosocial_factors	Psychosocial factors	binomial
BIN2040	Risk taking	Psychosocial_factors	Psychosocial factors	binomial
INI12144	Height	Anthropometry	Anthropometry	gaussian
INI20015	Sitting height	Anthropometry	Anthropometry	gaussian
INI21001	BMI	Anthropometry	Anthropometry	gaussian
INI21002	Weight	Anthropometry	Anthropometry	gaussian
INI23099	Body fat %	Anthropometry	Anthropometry	gaussian
INI23100	Whole body fat mass	Anthropometry	Anthropometry	gaussian
INI23101	Whole body fat-free mass	Anthropometry	Anthropometry	gaussian
INI23102	Whole body water mass	Anthropometry	Anthropometry	gaussian
INI23105	Basal metabolic rate	Anthropometry	Anthropometry	gaussian
INI23106	Impedance of whole body	Anthropometry	Anthropometry	gaussian
INI23107	Impedance of leg (R)	Anthropometry	Anthropometry	gaussian
INI23108	Impedance of leg (L)	Anthropometry	Anthropometry	gaussian
INI23109	Impedance of arm (R)	Anthropometry	Anthropometry	gaussian
INI23110	Impedance of arm (L)	Anthropometry	Anthropometry	gaussian
INI23111	Leg fat % (R)	Anthropometry	Anthropometry	gaussian
INI23112	Leg fat mass (R)	Anthropometry	Anthropometry	gaussian
INI23113	Leg fat-free mass (R)	Anthropometry	Anthropometry	gaussian
INI23114	Leg pred. mass (R)	Anthropometry	Anthropometry	gaussian
INI23115	Leg fat % (L)	Anthropometry	Anthropometry	gaussian
INI23117	Leg fat-free mass (L)	Anthropometry	Anthropometry	gaussian
INI23118	Leg pred. mass (L)	Anthropometry	Anthropometry	gaussian
INI23119	Arm fat % (R)	Anthropometry	Anthropometry	gaussian
INI23120	Arm fat mass (R)	Anthropometry	Anthropometry	gaussian
INI23121	Arm fat-free mass (R)	Anthropometry	Anthropometry	gaussian
INI23122	Arm pred. mass (R)	Anthropometry	Anthropometry	gaussian
INI23123	Arm fat % (L)	Anthropometry	Anthropometry	gaussian
INI23124	Arm fat mass (L)	Anthropometry	Anthropometry	gaussian
