#trait	trait_name	trait_category	trait_category_plot	family	pred_PRS	pred_covar	pred_full	pred_delta	n_variables	WBtest_P	WBtest_BYq	WBtest_is_significant	WBtest_BHq	trait_label	PGScatalog_ID	EFO_ID	EFO_label
HC914	TTE otosclerosis	Disease_outcome	Disease outcome	binomial	0.0134086684453394	0.00769245870429189	0.0208509897582318	0.0131585310539399	213	7.09889164630386e-08	1.22751708803162e-06	TRUE	1.54732109003698e-07	TTE otosclerosis (HC914)	PGS001255	EFO_0004213	otosclerosis
HC915	TTE disorders of vestibular function	Disease_outcome	Disease outcome	binomial	0.00032060996810402	0.0212664647929957	0.0214754236769811	0.000208958883985401	10	0.0359831930440545	0.451259073691871	FALSE	0.0568825223373185	TTE disorders of vestibular function (HC915)			
HC918	TTE conductive and sensorineural hearing loss	Disease_outcome	Disease outcome	binomial	0.000590566560273316	0.0145529210988442	0.014653117446733	0.0001001963478888	3	0.0151624307902882	0.198783483038643	FALSE	0.0250572377896526	TTE conductive and sensorineural hearing loss (HC918)			
HC92	Allergy to elastoplast	Disease_outcome	Disease outcome	binomial	1.425135394416e-05	0.0247747339297186	0.0178289024650647	-0.0069458314646539	78	0.92210131833054	1	FALSE	0.951277892674552	Allergy to elastoplast (HC92)			
HC93	Dry eyes	Disease_outcome	Disease outcome	binomial	0.000351973630116587	0.0228831540690264	0.021535303370647	-0.0013478506983794	23	0.376564481825721	1	FALSE	0.477859949508482	Dry eyes (HC93)			
HC932	TTE essential (primary hypertension)	Disease_outcome	Disease outcome	binomial	0.0405467963596867	0.126362032140547	0.167058786274867	0.04069675413432	11276	0	0	TRUE	0	TTE essential (primary hypertension) (HC932)	PGS000957	EFO_1002032	primary hypertension
HC937	TTE angina pectoris	Disease_outcome	Disease outcome	binomial	0.0116205844264898	0.103845834931715	0.11585552667567	0.012009691743955	2524	1.51497642634542e-63	7.20654016003917e-62	TRUE	9.08405405069189e-63	TTE angina pectoris (HC937)	PGS001261	EFO_0003913	angina pectoris
HC938	TTE acute myocardial infarction	Disease_outcome	Disease outcome	binomial	0.010655809594523	0.107078801602097	0.117810868501578	0.010732066899481	1108	8.78392404026017e-45	3.37635025182208e-43	TRUE	4.25598796377931e-44	TTE acute myocardial infarction (HC938)	PGS001314	EFO_0000612	myocardial infarction
HC941	TTE other acute ischaemic heart diseases	Disease_outcome	Disease outcome	binomial	6.98726228125279e-05	0.0497294193846074	0.0490141363066713	-0.000715283077936099	18	0.567647769239857	1	FALSE	0.664449333478217	TTE other acute ischaemic heart diseases (HC941)			
HC942	TTE chronic ischaemic heart disease	Disease_outcome	Disease outcome	binomial	0.0186934761240023	0.128563168635064	0.146652642273924	0.01808947363886	2168	4.93099345728906e-115	2.95750525011947e-113	TRUE	3.72802162350598e-114	TTE chronic ischaemic heart disease (HC942)	PGS000962	EFO_1001375	Myocardial Ischemia
HC943	TTE PE	Disease_outcome	Disease outcome	binomial	0.013572650638922	0.0181445156497179	0.0306090453063705	0.0124645296566526	88	1.31234781947637e-34	4.2990370447599e-33	TRUE	5.41906157646575e-34	TTE PE (HC943)	PGS001280	EFO_0003827	pulmonary embolism
HC95	Inflammatory bowel disease	Disease_outcome	Disease outcome	binomial	0.0119087776228562	0.00127744649734382	0.0122147893097582	0.0109373428124144	195	5.36573775042552e-26	1.5174918453793e-24	TRUE	1.91284272879634e-25	Inflammatory bowel disease (HC95)	PGS001288	EFO_0003767	inflammatory bowel disease
HC951	TTE nonrheumatic aortic valve disorders	Disease_outcome	Disease outcome	binomial	0.00267668681053858	0.0575702135236463	0.0593358966925439	0.0017656831688976	36	1.56263038870489e-05	0.000241002656057557	TRUE	3.0379087681033e-05	TTE nonrheumatic aortic valve disorders (HC951)	PGS001025	EFO_0009531	aortic valve disease
HC96	Polymyalgia rheumatica	Disease_outcome	Disease outcome	binomial	0.0126466503834781	0.0657882555423223	0.0777354615942125	0.0119472060518902	69	1.30776153224191e-15	2.93075987613129e-14	TRUE	3.69430829956424e-15	Polymyalgia rheumatica (HC96)	PGS001051	EFO_0008518	polymyalgia rheumatica
HC964	TTE atrial fibrillation and flutter	Disease_outcome	Disease outcome	binomial	0.0246039938105946	0.107408908187798	0.132999672756232	0.025590764568434	2142	1.87783695270087e-123	1.17156462009716e-121	TRUE	1.47679137235018e-122	TTE atrial fibrillation and flutter (HC964)	PGS001339	EFO_0000275|EFO_0003911	atrial fibrillation|atrial flutter
HC965	TTE other cardiac arrhythmias	Disease_outcome	Disease outcome	binomial	1.6314405804068e-07	0.0194485580947862	0.0194439865727731	-4.57152201310124e-06	4	0.965571905662709	1	FALSE	0.977438572032432	TTE other cardiac arrhythmias (HC965)			
HC966	TTE heart failure	Disease_outcome	Disease outcome	binomial	0.000477911600090014	0.0838727445530592	0.084388928255853	0.000516183702793799	150	0.0165610990870305	0.215980056602052	FALSE	0.0272249160411793	TTE heart failure (HC966)			
HC967	TTE complications and ill-defined descriptions of heart disease	Disease_outcome	Disease outcome	binomial	3.65915650536008e-05	0.0568996236115209	0.0569129286640027	1.33050524818018e-05	17	0.525972081000454	1	FALSE	0.631247167765115	TTE complications and ill-defined descriptions of heart disease (HC967)			
HC972	TTE cerebral infarction	Disease_outcome	Disease outcome	binomial	8.72740253087049e-06	0.0447078350449185	0.0446706776265475	-3.71574183710005e-05	14	0.792222996248729	1	FALSE	0.853289049641611	TTE cerebral infarction (HC972)			
HC980	TTE aortic aneurysm and dissection	Disease_outcome	Disease outcome	binomial	0.000369349671379269	0.102894136214561	0.103046865630378	0.000152729415816996	92	0.189972169004775	1	FALSE	0.263336089010162	TTE aortic aneurysm and dissection (HC980)			
HC981	TTE other aneurysm	Disease_outcome	Disease outcome	binomial	1.85318192282249e-07	0.026498413775972	0.0264359723368655	-6.24414391065011e-05	1	0.984667897660813	1	FALSE	0.988066298403897	TTE other aneurysm (HC981)			
HC982	TTE other peripheral vascular diseases	Disease_outcome	Disease outcome	binomial	0.000413968389144697	0.0164180557955453	0.0168275406821759	0.0004094848866306	40	0.0243663416271303	0.310913036358291	FALSE	0.0391914950117769	TTE other peripheral vascular diseases (HC982)			
HC983	TTE arterial embolism and thrombosis	Disease_outcome	Disease outcome	binomial	0.00195195866176086	0.0485165434838222	0.0504923754031726	0.0019758319193504	44	0.0260162942264349	0.330945942805355	FALSE	0.0417167012954617	TTE arterial embolism and thrombosis (HC983)			
HC984	TTE other disorders of arteries and arterioles	Disease_outcome	Disease outcome	binomial	0.00101362359974001	0.0369487092857872	0.0378423163584348	0.000893607072647594	50	0.047056244488205	0.581895494070258	FALSE	0.0733496241275307	TTE other disorders of arteries and arterioles (HC984)			
HC987	TTE phlebitis and thrombophlebitis	Disease_outcome	Disease outcome	binomial	0.0169768816345829	0.0171735948522821	0.0344366563731137	0.0172630615208316	1143	3.84974244393092e-71	1.95086417831282e-69	TRUE	2.45912119377628e-70	TTE phlebitis and thrombophlebitis (HC987)	PGS000961	EFO_1001395|HP_0004418	Phlebitis|Thrombophlebitis
HC990	TTE varicose veins of lower extremities	Disease_outcome	Disease outcome	binomial	0.020908968616833	0.0159840647115761	0.0368116279100856	0.0208275631985095	2563	2.97533951416551e-96	1.63451734765261e-94	TRUE	2.06035678746417e-95	TTE varicose veins of lower extremities (HC990)	PGS000938	HP_0002619	Varicose veins
HC992	TTE oesophageal varices	Disease_outcome	Disease outcome	binomial	0.000156795055621033	0.0206304663504253	0.0199866259516779	-0.000643840398747399	13	0.602257534383046	1	FALSE	0.691513603308486	TTE oesophageal varices (HC992)			
HC998	TTE postprocedural disorders of circulatory system, not elsewhere classified	Disease_outcome	Disease outcome	binomial	0.000171153116328899	0.0311904719649981	0.0266617471303234	-0.0045287248346747	38	0.706329549694885	1	FALSE	0.780102854814746	TTE postprocedural disorders of circulatory system, not elsewhere classified (HC998)			
HC999	TTE other disorders of circulatory system in diseases classified elsewhere	Disease_outcome	Disease outcome	binomial	0.0029671353101644	0.0381624417070503	0.0415679243715508	0.0034054826645005	7	0.086882420897702	1	FALSE	0.131246128093536	TTE other disorders of circulatory system in diseases classified elsewhere (HC999)			
BIN_FC10001797	Father still alive	Family_history	Family history	binomial	0.000169798032798942	0.370639086791737	0.370791560285313	0.000152473493576	4	0.00669878118078044	0.0910933046323364	FALSE	0.0114825767228055	Father still alive (BIN_FC10001797)			
BIN_FC10001835	Mother still alive	Family_history	Family history	binomial	0.000361791131259114	0.339144086642419	0.339527565361153	0.000383478718734009	152	2.56687942939723e-05	0.000391509683406063	FALSE	4.93509374325143e-05	Mother still alive (BIN_FC10001835)			
FH1001	Lung cancer (FH)	Family_history	Family history	binomial	0.000425059299695067	0.0257355452457989	0.025972559898588	0.000237014652789098	312	4.62480784617168e-06	7.32584570770379e-05	TRUE	9.23444217307305e-06	Lung cancer (FH) (FH1001)	PGS001392	EFO_0006953	family history of lung cancer
FH1002	Breast cancer (FH)	Family_history	Family history	binomial	0.002199361729571	0.0140051798452526	0.0161777109709069	0.0021725311256543	195	1.05426302998522e-21	2.78491896574505e-20	TRUE	3.51047157856781e-21	Breast cancer (FH) (FH1002)	PGS001337	EFO_0005606	family history of breast cancer
FH1019	Bowel cancer (FH)	Family_history	Family history	binomial	6.74561031162792e-05	0.00574079423168208	0.00577182452937633	3.10302976942499e-05	5	0.0853414180559276	1	FALSE	0.129167620171689	Bowel cancer (FH) (FH1019)			
FH1044	Prostate cancer (FH)	Family_history	Family history	binomial	0.00542158554048209	0.0129549866506719	0.0182759916402264	0.0053210049895545	602	2.81456370562138e-40	1.00413772245017e-38	TRUE	1.26574488485559e-39	Prostate cancer (FH) (FH1044)	PGS001292	EFO_0009640	family history of cancer
FH1065	High BP (FH)	Family_history	Family history	binomial	0.0284030827585159	0.00208253184319084	0.0304506218910439	0.0283680900478531	13862	1.18416003705038e-304	9.67226654005233e-303	TRUE	1.21921740656832e-303	High BP (FH) (FH1065)	PGS001324	EFO_0000493	family history
FH1113	Chronic bronchitis/emphysema (FH)	Family_history	Family history	binomial	0.000948067040816216	0.022269321437024	0.0229321713950544	0.000662849958030402	1530	7.58196753717223e-11	1.45943127718712e-09	TRUE	1.83965568925187e-10	Chronic bronchitis/emphysema (FH) (FH1113)	PGS001132	EFO_0000493	family history
FH1220	Diabetes (FH)	Family_history	Family history	binomial	0.0183929251850217	0.000982101792935681	0.0192948078989461	0.0183127061060104	2515	3.87426274159513e-179	2.68718447944268e-177	TRUE	3.3872744081544e-178	Diabetes (FH) (FH1220)	PGS001328	EFO_0000493	family history
FH1263	Alzheimer's/dementia (FH)	Family_history	Family history	binomial	0.0118764648309422	0.0222087548917397	0.0341784053044912	0.0119696504127515	139	9.75555869093525e-107	5.65978346610512e-105	TRUE	7.13432212678209e-106	Alzheimer's/dementia (FH) (FH1263)	PGS001347	EFO_0009268	family history of Alzheimer’s disease
FH1286	Severe depression (FH)	Family_history	Family history	binomial	0.000284865574315286	0.00772738429463983	0.00775766454881576	3.028025417593e-05	2	0.000777719246321588	0.0110350990838629	FALSE	0.0013910064234209	Severe depression (FH) (FH1286)			
BIN_FC10002492	Taking other prescription medications	Health_and_medical_history	Health and medical history	binomial	0.00443064818712465	0.0532191735998847	0.0576853782881952	0.0044662046883105	1846	2.24829603958305e-50	9.36696019748019e-49	TRUE	1.18073265166023e-49	Taking other prescription medications (BIN_FC10002492)	PGS001118	EFO_0007010	drug use measurement
BIN_FC10002986	Started insulin within one year diagnosis of diabetes	Health_and_medical_history	Health and medical history	binomial	0.129815806316395	0.0694430871152128	0.177641857799905	0.108198770684692	68	2.24001783125364e-48	8.97121417700215e-47	TRUE	1.1308477115845e-47	Started insulin within one year diagnosis of diabetes (BIN_FC10002986)	PGS001117	EFO_0007010	drug use measurement
BIN_FC10005518	Leg pain on walking : effect of standing still (Pain usually continues for more than 10 minutes)	Health_and_medical_history	Health and medical history	binomial	1.44903147103211e-05	0.0109805374815488	0.0109690836925981	-1.14537889506997e-05	1	0.810271765551991	1	FALSE	0.869736154381938	Leg pain on walking : effect of standing still (Pain usually continues for more than 10 minutes) (BIN_FC10005518)			
BIN_FC10005855	Which eye(s) affected by astigmatism (Right eye)	Health_and_medical_history	Health and medical history	binomial	0.000151766119606219	0.00149524453753654	0.00156375829737766	6.851375984112e-05	3	0.629643271661121	1	FALSE	0.716127703597133	Which eye(s) affected by astigmatism (Right eye) (BIN_FC10005855)			
BIN_FC10005934	Which eye(s) affected by other serious eye condition (Right eye)	Health_and_medical_history	Health and medical history	binomial	0.00201955489136306	0.00261388939196816	0.00143736986122671	-0.00117651953074145	9	0.419460129526476	1	FALSE	0.523071794987199	Which eye(s) affected by other serious eye condition (Right eye) (BIN_FC10005934)			
BIN_FC10006151	Fractured bone site(s) (Ankle)	Health_and_medical_history	Health and medical history	binomial	0.000213851421149973	0.00744170978025172	0.00487683291204507	-0.00256487686820665	212	0.353454838619259	1	FALSE	0.452665157478838	Fractured bone site(s) (Ankle) (BIN_FC10006151)			
BIN_FC10006152	Hayfever allergic rhinitis or eczema	Health_and_medical_history	Health and medical history	binomial	0.0408622766635719	0.0226425857702843	0.0635391526911162	0.0408965669208319	6755	0	0	TRUE	0	Hayfever allergic rhinitis or eczema (BIN_FC10006152)	PGS001284	EFO_0003785	allergy
BIN_FC10006179	Zinc supplements	Health_and_medical_history	Health and medical history	binomial	0.000851544005920444	0.013845947548092	0.0146417660566834	0.0007958185085914	480	0.000178336087547321	0.0026017832769339	FALSE	0.000327962370166342	Zinc supplements (BIN_FC10006179)			
BIN_FC1002247	Hearing difficulty	Health_and_medical_history	Health and medical history	binomial	0.00632360732649202	0.0492680848685345	0.05561000360356	0.0063419187350255	3098	7.92194101194124e-64	3.81217950095921e-62	TRUE	4.80536344328994e-63	Hearing difficulty (BIN_FC1002247)	PGS001253	EFO_0004238	hearing loss
BIN_FC1002306	Weight change compared with 1 year ago	Health_and_medical_history	Health and medical history	binomial	0.00376074115765502	0.0254799341900247	0.0289634488624326	0.0034835146724079	2638	1.97729612805474e-42	7.32804879200801e-41	TRUE	9.23721922509155e-42	Weight change compared with 1 year ago (BIN_FC1002306)	PGS001006	EFO_0009799|EFO_0004338	self-reported trait|body weight
BIN_FC1006148	Eye problems/disorders Diabetic eye disease	Health_and_medical_history	Health and medical history	binomial	0.00926494957177544	0.0435024050332108	0.0527910847660914	0.0092886797328806	123	7.92333748392953e-10	1.47705058426579e-08	TRUE	1.86186533969215e-09	Eye problems/disorders Diabetic eye disease (BIN_FC1006148)	PGS001028	EFO_0009486	diabetic eye disease
BIN_FC1006149	Mouth ulcers	Health_and_medical_history	Health and medical history	binomial	0.0165044547151694	0.00731564350767824	0.0231724866277308	0.0158568431200526	1648	3.03276548543621e-123	1.88265298272308e-121	TRUE	2.37313899235383e-122	Mouth ulcers (BIN_FC1006149)	PGS000947	HP_0000155	Oral ulcer
BIN_FC1006150	Vascular/heart problems diagnosed by doctor Heart attack	Health_and_medical_history	Health and medical history	binomial	0.0165375061964407	0.166377565628665	0.182819521117223	0.016441955488558	1030	4.84647605073788e-46	1.88623948310938e-44	TRUE	2.37765988069115e-45	Vascular/heart problems diagnosed by doctor Heart attack (BIN_FC1006150)	PGS001317	EFO_0000612	myocardial infarction
BIN_FC1006152	DVT diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial	0.017703466059524	0.0108520659781729	0.0286819244116193	0.0178298584334464	1773	1.18399483327982e-48	4.77266041121825e-47	TRUE	6.01607764312636e-48	DVT diagnosed by doctor (BIN_FC1006152)	PGS001266	EFO_0003907	deep vein thrombosis
BIN_FC1006154	Aspirin	Health_and_medical_history	Health and medical history	binomial	0.00131400060725868	0.109571181464069	0.111048802040171	0.001477620576102	499	1.89079460808349e-12	3.79854541811341e-11	TRUE	4.78817728422437e-12	Aspirin (BIN_FC1006154)	PGS001112	EFO_0007013	aspirin use measurement
BIN_FC11006152	Blood clot or DVT diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial	0.0179518466129994	0.0117756780479221	0.029525731060789	0.0177500530128669	534	1.0191461344065e-58	4.63484545919667e-57	TRUE	5.84235787672591e-58	Blood clot or DVT diagnosed by doctor (BIN_FC11006152)	PGS000931	MONDO_0000831|EFO_0003907	thrombotic disease|deep vein thrombosis
BIN_FC11006179	Iron supplements	Health_and_medical_history	Health and medical history	binomial	0.000705625123979113	0.017988010854852	0.0181732529203278	0.000185242065475801	4	0.00182218468127348	0.0254765648337027	FALSE	0.00321139529976689	Iron supplements (BIN_FC11006179)			
BIN_FC12006152	Blood clot in the leg (DVT) or lung	Health_and_medical_history	Health and medical history	binomial	0.0155431473663756	0.0136795329762083	0.0291772058767982	0.0154976729005899	551	2.69581654040351e-57	1.1996307067257e-55	TRUE	1.51216949309373e-56	Blood clot in the leg (DVT) or lung (BIN_FC12006152)	PGS001278	EFO_0003827|EFO_0003907	pulmonary embolism|deep vein thrombosis
BIN_FC12006155	Vitamin B9 vs multivitamin	Health_and_medical_history	Health and medical history	binomial	0.00206447047469974	0.00455033966645752	0.00571212775026871	0.00116178808381119	27	8.58643048124908e-05	0.00127976167461844	FALSE	0.000161317691514464	Vitamin B9 vs multivitamin (BIN_FC12006155)			
BIN_FC15006155	Vitamin C	Health_and_medical_history	Health and medical history	binomial	0.000198665422305457	0.00138235079649151	0.00133541077130457	-4.69400251869401e-05	964	0.0132631853602276	0.174677716716701	FALSE	0.0220186356402311	Vitamin C (BIN_FC15006155)			
BIN_FC18006155	Folic acid or folate (Vitamin B9)	Health_and_medical_history	Health and medical history	binomial	0.00169162000402261	0.00759884799765351	0.00847362522030903	0.00087477722265552	5	2.15338548988328e-06	3.47661729215899e-05	TRUE	4.38237749241526e-06	Folic acid or folate (Vitamin B9) (BIN_FC18006155)	PGS001153	EFO_0005111	folic acid measurement
BIN_FC20005441	Which eye(s) are affected by cataract (Left eye)	Health_and_medical_history	Health and medical history	binomial	0.000223787833894408	0.00557407508509825	0.00442843653051251	-0.00114563855458574	80	0.632179202178026	1	FALSE	0.717427804836458	Which eye(s) are affected by cataract (Left eye) (BIN_FC20005441)			
BIN_FC20005507	Leg pain on walking : action taken (Slow down)	Health_and_medical_history	Health and medical history	binomial	0.000416311589553332	0.0141706409453898	0.0143775944555519	0.000206953510162101	3	0.166985018446567	1	FALSE	0.235890131115485	Leg pain on walking : action taken (Slow down) (BIN_FC20005507)			
BIN_FC20005518	Leg pain on walking : effect of standing still (Pain usually disappears in less than 10 minutes)	Health_and_medical_history	Health and medical history	binomial	8.19355171305008e-05	0.00876918098814514	0.00862834813137977	-0.000140832856765371	1	0.569274345918692	1	FALSE	0.665855270076796	Leg pain on walking : effect of standing still (Pain usually disappears in less than 10 minutes) (BIN_FC20005518)			
BIN_FC20005843	Which eye(s) affected by myopia (short sight) (Left eye)	Health_and_medical_history	Health and medical history	binomial	0.000745949883930211	0.00146547518994003	0.00146473222103521	-7.42968904820065e-07	1	0.159953679260273	1	FALSE	0.227777532340607	Which eye(s) affected by myopia (short sight) (Left eye) (BIN_FC20005843)			
BIN_FC20006119	Which eye(s) affected by glaucoma (Left eye)	Health_and_medical_history	Health and medical history	binomial	1.8491218784835e-05	0.00132176617139715	0.00131347284983888	-8.29332155826996e-06	1	0.951014252388246	1	FALSE	0.967709561110276	Which eye(s) affected by glaucoma (Left eye) (BIN_FC20006119)			
BIN_FC2006148	Eye problems/disorders Glaucoma	Health_and_medical_history	Health and medical history	binomial	0.0193953586763819	0.0738411263732415	0.0930628189614285	0.019221692588187	1103	8.07552409068855e-32	2.51280776123773e-30	TRUE	3.16746746915478e-31	Eye problems/disorders Glaucoma (BIN_FC2006148)	PGS001321	EFO_0000516	glaucoma
BIN_FC2006150	Vascular/heart problems diagnosed by doctor Angina	Health_and_medical_history	Health and medical history	binomial	0.0130391037526071	0.160431045945248	0.174675266619883	0.014244220674635	1852	2.65389423582937e-43	1.00149585610749e-41	TRUE	1.26241473528054e-42	Vascular/heart problems diagnosed by doctor Angina (BIN_FC2006150)	PGS001262	EFO_0003913	angina pectoris
BIN_FC2006154	Ibuprofen (e.g. Nurofen)	Health_and_medical_history	Health and medical history	binomial	0.000755414082505818	0.0385956123649228	0.0392770934100047	0.000681481045081901	174	6.21608773059173e-08	1.08088718254045e-06	TRUE	1.36248981769973e-07	Ibuprofen (e.g. Nurofen) (BIN_FC2006154)	PGS001116	EFO_0007012	NSAID use measurement
BIN_FC2006155	Vitamin B vs no supplement	Health_and_medical_history	Health and medical history	binomial	1.97894332300613e-08	0.0132118568923113	0.0132093307859721	-2.52610633920056e-06	4	0.98484276750262	1	FALSE	0.988066298403897	Vitamin B vs no supplement (BIN_FC2006155)			
BIN_FC2006179	Glucosamine	Health_and_medical_history	Health and medical history	binomial	0.000537158121624003	0.0452443355039224	0.0456946743272334	0.000450338823310997	324	1.62805448497508e-06	2.65262224377081e-05	TRUE	3.34370770208137e-06	Glucosamine (BIN_FC2006179)	PGS001044	EFO_0009116	vitamin supplement exposure measurement
BIN_FC30005507	Leg pain on walking : action taken (Continue at same pace)	Health_and_medical_history	Health and medical history	binomial	0.000208536173978107	0.0203430949406566	0.0204268917727946	8.37968321380014e-05	4	0.335447390970455	1	FALSE	0.433147827449474	Leg pain on walking : action taken (Continue at same pace) (BIN_FC30005507)			
BIN_FC3002247	Hearing difficulty and Deafness	Health_and_medical_history	Health and medical history	binomial	0.00646180168488258	0.0492148234504737	0.0555757616936173	0.0063609382431436	3731	3.43666505423527e-65	1.67324089244653e-63	TRUE	2.10916894505027e-64	Hearing difficulty and Deafness (BIN_FC3002247)	PGS001252	EFO_0004238|EFO_0001063	hearing loss|deafness
BIN_FC3006152	Blood clot diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial	0.0132352927495668	0.00552525430858056	0.0178854401869721	0.0123601858783915	118	3.38873567140814e-19	8.33120382207045e-18	TRUE	1.05017253975322e-18	Blood clot diagnosed by doctor (BIN_FC3006152)	PGS000930	MONDO_0000831	thrombotic disease
BIN_FC3006155	Vitamin C vs no supplement	Health_and_medical_history	Health and medical history	binomial	0.000164706073279119	0.00292520192565073	0.00306938393002448	0.00014418200437375	37	0.0341989093977209	0.430186272218563	FALSE	0.0542262342527186	Vitamin C vs no supplement (BIN_FC3006155)			
BIN_FC40006151	Fractured bone site(s) (Spine)	Health_and_medical_history	Health and medical history	binomial	0.000263438990724392	0.00226666304469595	0.00246487629633151	0.00019821325163556	4	0.543971805678032	1	FALSE	0.646479865226157	Fractured bone site(s) (Spine) (BIN_FC40006151)			
BIN_FC4006148	Eye problems/disorders Cataract	Health_and_medical_history	Health and medical history	binomial	0.000717178679557574	0.134714547909272	0.13489170654803	0.000177158638758002	1	0.00272461721622328	0.0378381087549688	FALSE	0.00476960396352286	Eye problems/disorders Cataract (BIN_FC4006148)			
BIN_FC4006149	Loose teeth	Health_and_medical_history	Health and medical history	binomial	0.000144440340761654	0.00887197055006106	0.0089922066246124	0.00012023607455134	6	0.0876437222574548	1	FALSE	0.132013883862288	Loose teeth (BIN_FC4006149)			
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	Health_and_medical_history	Health and medical history	binomial	0.0687228946114221	0.091992760132957	0.161538355864841	0.069545595731884	14076	0	0	TRUE	0	Vascular/heart problems diagnosed by doctor High BP (BIN_FC4006150)	PGS001335	EFO_0000319	cardiovascular disease
BIN_FC4006152	Asthma diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial	0.0568879370632862	0.0110908044372177	0.067266336929809	0.0561755324925913	6139	0	0	TRUE	0	Asthma diagnosed by doctor (BIN_FC4006152)	PGS001344	EFO_0000270	asthma
BIN_FC5006148	Eye problems/disorders Macular degeneration	Health_and_medical_history	Health and medical history	binomial	0.00598972424218372	0.0620437642289751	0.0670449064781757	0.0050011422492006	53	2.4459063338507e-08	4.31348811703959e-07	TRUE	5.43727757454026e-08	Eye problems/disorders Macular degeneration (BIN_FC5006148)	PGS001013	EFO_0009606	macular degeneration
BIN_FC5006149	Toothache	Health_and_medical_history	Health and medical history	binomial	2.66404159219472e-05	0.0126240676977755	0.0124976524984636	-0.0001264151993119	2	0.463419281852981	1	FALSE	0.566602481328059	Toothache (BIN_FC5006149)			
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	Health_and_medical_history	Health and medical history	binomial	0.0510784605975016	0.0217794678049533	0.0728059322312837	0.0510264644263304	7313	0	0	TRUE	0	Hayfever rhinitis or eczema diagnosed by doctor (BIN_FC5006152)	PGS001285	EFO_0003785	allergy
BIN_FC6006149	Dentures	Health_and_medical_history	Health and medical history	binomial	0.0105206271918939	0.141694426469375	0.151042432648257	0.00934800617888201	6042	2.07193191707016e-94	1.12824151734662e-92	TRUE	1.42218133781351e-93	Dentures (BIN_FC6006149)	PGS000995	EFO_0010078	dentures
BIN_FC6006152	Blood clot in the leg (DVT)	Health_and_medical_history	Health and medical history	binomial	0.0155226942773664	0.0126322144973199	0.0283131148574943	0.0156809003601744	1530	4.45349641627748e-48	1.77787884205985e-46	TRUE	2.24106813230683e-47	Blood clot in the leg (DVT) (BIN_FC6006152)	PGS001265	EFO_0003907	deep vein thrombosis
BIN_FC6006155	Vitamin B9 vs no supplement	Health_and_medical_history	Health and medical history	binomial	0.00209411177620262	0.0124626058166583	0.0136274821690982	0.0011648763524399	5	5.16539513488669e-07	8.65459570018524e-06	TRUE	1.09093702916298e-06	Vitamin B9 vs no supplement (BIN_FC6006155)	PGS001045	EFO_0009116	vitamin supplement exposure measurement
BIN_FC7006152	Emphysema or chronic bronchitis	Health_and_medical_history	Health and medical history	binomial	0.000182394566291095	0.0285920636538099	0.0286640373034218	7.19736496119019e-05	1	0.158353717054584	1	FALSE	0.22611639342192	Emphysema or chronic bronchitis (BIN_FC7006152)			
BIN_FC7006154	Aspirin use self-reported	Health_and_medical_history	Health and medical history	binomial	0.00219248165622513	0.109683981906183	0.111842941363094	0.002158959456911	790	4.04270392916056e-16	9.12579461886538e-15	TRUE	1.15033302711569e-15	Aspirin use self-reported (BIN_FC7006154)	PGS001113	EFO_0007013	aspirin use measurement
BIN_FC7006155	Vitamin A vs multivitamin	Health_and_medical_history	Health and medical history	binomial	9.574301860684e-05	0.014581669444603	0.0145113676217607	-7.03018228423013e-05	2	0.414218816082924	1	FALSE	0.517388416520008	Vitamin A vs multivitamin (BIN_FC7006155)			
BIN_FC8006152	Blood clot in the lung	Health_and_medical_history	Health and medical history	binomial	0.0114635432956727	0.00706231030392817	0.0176267679219348	0.0105644576180066	94	4.07894531262123e-18	9.73881200565007e-17	TRUE	1.22760565658697e-17	Blood clot in the lung (BIN_FC8006152)	PGS001279	EFO_0003827|EFO_0003907	pulmonary embolism|deep vein thrombosis
BIN_FC8006154	Ibuprofen use self-reported	Health_and_medical_history	Health and medical history	binomial	0.00188276568763297	0.0295921303187579	0.0314831085864684	0.0018909782677105	419	2.02350900025609e-14	4.39977508011396e-13	TRUE	5.54604480805741e-14	Ibuprofen use self-reported (BIN_FC8006154)	PGS001114	EFO_0007012|EFO_0009799	NSAID use measurement|self-reported trait
BIN_FC8006179	Glucosamine supplements	Health_and_medical_history	Health and medical history	binomial	0.000217656169977677	0.0780973128978222	0.0782369976949596	0.000139684797137413	24	0.00524820516238893	0.0720781808355291	FALSE	0.00908566491055163	Glucosamine supplements (BIN_FC8006179)			
BIN_FC9006154	Paracetamol use self-reported	Health_and_medical_history	Health and medical history	binomial	0.0107247726817788	0.0257355637336863	0.0360081335026054	0.0102725697689191	4673	2.11843199355111e-87	1.12880792324937e-85	TRUE	1.42289530897317e-86	Paracetamol use self-reported (BIN_FC9006154)	PGS001115	EFO_0007012|EFO_0009799	NSAID use measurement|self-reported trait
