#trait	trait_name	trait_category	family	h2_obs	h2_obs_se	lambda_GC	mean_chi2	intercept	intercept_se	ratio	ratio_se	WB_case_n	WB_control_n	WB_prev	WB_prev_z	h2_liability
HC878	TTE retinal detachments and breaks	Disease_outcome	binomial	0.0089	0.0023	1.0436	1.0553	1.0117	0.007	0.2112	0.1256	4346	332783	0.0128912078165925	0.0332329106547176	0.10254438304637
HC880	TTE other retinal disorders	Disease_outcome	binomial	0.0028	0.0017	1.0135	1.0162	1.0028	0.0064	0.1716	0.3946	7723	329406	0.0229081449534155	0.0543067617484421	0.0212508121723339
HC881	TTE retinal disorders in diseases classified elsewhere	Disease_outcome	binomial	0.014	0.005	1.0375	1.0697	0.9925	0.0076	<0	usually_indicates_GC_correction	1870	335259	0.00554683815394107	0.01585828383061	0.307075727679562
HC882	TTE glaucoma	Disease_outcome	binomial	0.0273	0.0022	1.0895	1.1223	1.0002	0.0062	0.0014	0.0509	9976	327153	0.0295910467506503	0.0672715611301197	0.17322667027027
HC91	Psoriatic arthropathy	Disease_outcome	binomial	0.0202	0.0115	1.0285	1.1136	0.9786	0.0099	<0	usually_indicates_GC_correction	1060	336069	0.00314419702843719	0.00954429276109801	0.695033854055548
HC914	TTE otosclerosis	Disease_outcome	binomial	0.0135	0.0018	1.0225	1.0231	0.9646	0.0059	<0	usually_indicates_GC_correction	711	336418	0.0021089849879423	0.00665294801714764	0.641892215656032
HC932	TTE essential (primary hypertension)	Disease_outcome	binomial	0.0894	0.0043	1.2798	1.4162	1.0379	0.0088	0.091	0.0211	83775	253354	0.248495383072948	0.316758158134152	0.166391783956821
HC937	TTE angina pectoris	Disease_outcome	binomial	0.0339	0.003	1.1238	1.1557	1.0206	0.0068	0.1326	0.0434	20577	316552	0.0610359832586339	0.120729199901309	0.133293799600349
HC938	TTE acute myocardial infarction	Disease_outcome	binomial	0.0239	0.0025	1.0895	1.1193	1.0204	0.0068	0.1712	0.057	12552	324577	0.0372320387744751	0.0812826267822261	0.129670411320146
HC942	TTE chronic ischaemic heart disease	Disease_outcome	binomial	0.0339	0.0035	1.127	1.1791	1.0386	0.0079	0.2157	0.044	25377	311752	0.0752738565949533	0.14194938288942	0.117108922161348
HC943	TTE PE	Disease_outcome	binomial	0.0139	0.0026	1.0405	1.0544	0.9938	0.0061	<0	usually_indicates_GC_correction	5901	331228	0.0175036855328376	0.0432245645434571	0.127942248518304
HC95	Inflammatory bowel disease	Disease_outcome	binomial	0.0152	0.0028	1.0496	1.0698	0.9961	0.0065	<0	usually_indicates_GC_correction	4216	332913	0.0125055987470671	0.0323709487215286	0.179131459416327
HC951	TTE nonrheumatic aortic valve disorders	Disease_outcome	binomial	0.0087	0.0016	1.0225	1.0248	0.9882	0.0059	<0	usually_indicates_GC_correction	3171	333958	0.00940589507280596	0.0252633080327274	0.12700905555996
HC96	Polymyalgia rheumatica	Disease_outcome	binomial	0.0172	0.0079	1.0255	1.0719	0.9728	0.0079	<0	usually_indicates_GC_correction	1898	335231	0.0056298924150696	0.016069003041071	0.372905455473072
HC964	TTE atrial fibrillation and flutter	Disease_outcome	binomial	0.0289	0.0041	1.0864	1.1417	1.0209	0.0065	0.1475	0.0461	17230	319899	0.0511080328301629	0.104952274843892	0.127238946686087
HC987	TTE phlebitis and thrombophlebitis	Disease_outcome	binomial	0.02	0.0041	1.0588	1.0906	1.0067	0.0062	0.0744	0.0682	11561	325568	0.0342925111752475	0.0759848998567738	0.114715022041235
HC990	TTE varicose veins of lower extremities	Disease_outcome	binomial	0.0336	0.0033	1.1144	1.185	1.0177	0.0073	0.0955	0.0393	15193	321936	0.0450658353330624	0.0948983836706209	0.160561901681484
FH1001	Lung cancer (FH)	Family_history	binomial	0.0101	0.0024	1.0496	1.0587	1.0092	0.0065	0.1568	0.1103	123806	213323	0.36723628047424	0.376641761475937	0.0165444212526186
FH1002	Breast cancer (FH)	Family_history	binomial	0.0133	0.0019	1.0466	1.0636	1.0023	0.006	0.0361	0.0948	62385	274744	0.185047860017975	0.266972379854728	0.0281407162257292
FH1044	Prostate cancer (FH)	Family_history	binomial	0.0148	0.0022	1.0436	1.0679	0.9998	0.0068	<0	usually_indicates_GC_correction	34354	302775	0.101901645957482	0.177925133723787	0.0427850666641692
FH1065	High BP (FH)	Family_history	binomial	0.0706	0.0036	1.2201	1.3253	1.0299	0.007	0.0919	0.0215	199025	138104	0.590352654325199	0.388666455813808	0.113024409383077
FH1113	Chronic bronchitis/emphysema (FH)	Family_history	binomial	0.0193	0.0022	1.0895	1.0903	1.0128	0.0063	0.1414	0.0698	78567	258562	0.233047290503042	0.305884311841962	0.0368685065738143
FH1220	Diabetes (FH)	Family_history	binomial	0.055	0.0039	1.1587	1.2543	1.0127	0.0071	0.0498	0.0279	79154	257975	0.234788463763129	0.307148413895373	0.104742852862416
FH1263	Alzheimer's/dementia (FH)	Family_history	binomial	0.0238	0.0131	1.0345	1.0959	1.0053	0.0083	0.0549	0.0867	51785	285344	0.153605889733603	0.2368683037922	0.0551497512252028
BIN_FC10002492	Taking other prescription medications	Health_and_medical_history	binomial	0.0436	0.0041	1.1523	1.2176	1.0126	0.007	0.0578	0.0322	166236	170085	0.494277788184502	0.398901241545596	0.0684918404825305
BIN_FC10002986	Started insulin within one year diagnosis of diabetes	Health_and_medical_history	binomial	0.7124	0.394	1.0466	1.2794	0.968	0.0106	<0	usually_indicates_GC_correction	1929	14537	0.11715049192275	0.19667193976542	1.90489001029806
BIN_FC10006152	Hayfever allergic rhinitis or eczema	Health_and_medical_history	binomial	0.0751	0.0068	1.207	1.4017	1.0359	0.0093	0.0894	0.0233	80035	256696	0.23768230427255	0.309227543964761	0.142303782909984
BIN_FC1002247	Hearing difficulty	Health_and_medical_history	binomial	0.0333	0.0026	1.1333	1.1667	1.0269	0.0069	0.1614	0.0412	91040	234315	0.279817430191637	0.336516886159167	0.0592581214999255
BIN_FC1002306	Weight change compared with 1 year ago	Health_and_medical_history	binomial	0.0378	0.0029	1.1333	1.1649	1.0123	0.007	0.0744	0.0427	152388	179772	0.458778901734104	0.396810775990963	0.0596077927449587
BIN_FC1006148	Eye problems/disorders Diabetic eye disease	Health_and_medical_history	binomial	0.0513	0.015	1.0496	1.086	0.9914	0.0074	<0	usually_indicates_GC_correction	2353	107853	0.0213509246320527	0.0511740985286494	0.409317809028551
BIN_FC1006149	Mouth ulcers	Health_and_medical_history	binomial	0.0398	0.0055	1.1175	1.2284	1.0016	0.0076	0.0072	0.0334	36402	300025	0.108201779286443	0.185821366487555	0.111222531867396
BIN_FC1006150	Vascular/heart problems diagnosed by doctor Heart attack	Health_and_medical_history	binomial	0.0349	0.0032	1.1019	1.1278	1.0215	0.0068	0.1686	0.0533	7967	237012	0.0325211548744994	0.0727380591356186	0.207543648380589
BIN_FC1006152	DVT diagnosed by doctor	Health_and_medical_history	binomial	0.0243	0.0047	1.0466	1.0691	0.9973	0.0055	<0	usually_indicates_GC_correction	7286	231028	0.0305731094270584	0.0691174509779754	0.150759788767214
BIN_FC1006154	Aspirin	Health_and_medical_history	binomial	0.0199	0.0022	1.0833	1.1002	1.0172	0.0065	0.1719	0.0648	48969	285127	0.146571644078349	0.229580178023154	0.0472281928204261
BIN_FC11006152	Blood clot or DVT diagnosed by doctor	Health_and_medical_history	binomial	0.0273	0.005	1.0588	1.0804	1.0003	0.0054	0.004	0.0675	9210	230939	0.0383511903026871	0.0832712724292293	0.145200325909129
BIN_FC12006152	Blood clot in the leg (DVT) or lung	Health_and_medical_history	binomial	0.019	0.0035	1.0588	1.077	0.999	0.0054	<0	usually_indicates_GC_correction	9210	327521	0.027351209125385	0.0630072516406706	0.127322486042688
BIN_FC18006155	Folic acid or folate (Vitamin B9)	Health_and_medical_history	binomial	0.0075	0.0037	1.0165	1.0281	0.9918	0.007	<0	usually_indicates_GC_correction	7484	328426	0.0222797773213063	0.0530481964415009	0.058055779558854
BIN_FC2006148	Eye problems/disorders Glaucoma	Health_and_medical_history	binomial	0.0516	0.0059	1.0496	1.0671	0.9935	0.0062	<0	usually_indicates_GC_correction	5438	107702	0.0480643450592187	0.0999334166794217	0.236406194555059
BIN_FC2006150	Vascular/heart problems diagnosed by doctor Angina	Health_and_medical_history	binomial	0.0468	0.0036	1.1301	1.1592	1.0195	0.0069	0.1227	0.0432	10855	236981	0.0437991252279733	0.0927431668768896	0.227874948409765
BIN_FC2006154	Ibuprofen (e.g. Nurofen)	Health_and_medical_history	binomial	0.0228	0.0021	1.0833	1.1008	0.9926	0.0057	<0	usually_indicates_GC_correction	52235	281861	0.156347277429242	0.239651705743776	0.0523633994620243
BIN_FC2006179	Glucosamine	Health_and_medical_history	binomial	0.0176	0.0024	1.0802	1.088	1.016	0.0076	0.1816	0.0868	68052	268541	0.202178892609175	0.281787262141424	0.035752901163434
BIN_FC3002247	Hearing difficulty and Deafness	Health_and_medical_history	binomial	0.0333	0.0026	1.1333	1.1668	1.0269	0.0069	0.1616	0.0411	91118	234315	0.279990044033641	0.336617542037953	0.059245017910591
BIN_FC3006152	Blood clot diagnosed by doctor	Health_and_medical_history	binomial	0.0146	0.0029	1.0315	1.0375	0.9944	0.0056	<0	usually_indicates_GC_correction	2945	231226	0.0125762797272079	0.0325292839967943	0.171340327203271
BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	Health_and_medical_history	binomial	0.1243	0.0053	1.3409	1.5461	1.0429	0.0089	0.0786	0.0164	92707	234917	0.282967670256147	0.338339967119539	0.220312977505922
BIN_FC4006152	Asthma diagnosed by doctor	Health_and_medical_history	binomial	0.0854	0.0128	1.1908	1.453	1.0425	0.0093	0.0938	0.0204	39752	230305	0.147198554379261	0.230238363025925	0.202233904039826
BIN_FC5006148	Eye problems/disorders Macular degeneration	Health_and_medical_history	binomial	0.0221	0.0051	1.0165	1.0172	0.9842	0.0058	<0	usually_indicates_GC_correction	3232	107679	0.0291404820080966	0.0664199030932251	0.141725801645327
BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	Health_and_medical_history	binomial	0.0867	0.008	1.2136	1.4284	1.041	0.0099	0.0957	0.0231	80035	227278	0.260434801000934	0.324644651765941	0.158444831143792
BIN_FC6006149	Dentures	Health_and_medical_history	binomial	0.0541	0.0034	1.2038	1.3136	1.0268	0.0078	0.0856	0.0248	58661	277766	0.174364721024175	0.25718076564156	0.11775169203124
BIN_FC6006152	Blood clot in the leg (DVT)	Health_and_medical_history	binomial	0.0164	0.0032	1.0466	1.0651	0.9966	0.0054	<0	usually_indicates_GC_correction	7286	329445	0.0216374494774761	0.0517539748295315	0.12961710429332
BIN_FC6006155	Vitamin B9 vs no supplement	Health_and_medical_history	binomial	0.0121	0.0053	1.0255	1.0356	0.9923	0.007	<0	usually_indicates_GC_correction	7484	235877	0.0307526678473543	0.0694534298866413	0.0747679350762127
BIN_FC7006154	Aspirin use self-reported	Health_and_medical_history	binomial	0.0381	0.0034	1.1144	1.1366	1.0166	0.0068	0.1218	0.0499	48969	187941	0.206698746359377	0.285520114850835	0.076635066676476
BIN_FC8006152	Blood clot in the lung	Health_and_medical_history	binomial	0.0098	0.0019	1.0315	1.0363	0.9944	0.0056	<0	usually_indicates_GC_correction	2945	333786	0.00874585351512038	0.0237039073291779	0.151207526998752
BIN_FC8006154	Ibuprofen use self-reported	Health_and_medical_history	binomial	0.0451	0.0034	1.1175	1.1595	0.9976	0.0061	<0	usually_indicates_GC_correction	52235	186862	0.218467818500441	0.294906474064939	0.0885405603969374
BIN_FC9006154	Paracetamol use self-reported	Health_and_medical_history	binomial	0.0639	0.0043	1.1908	1.3047	1.0243	0.0076	0.0799	0.0249	76623	185954	0.291811544804	0.343301757626907	0.112046969981766
BIN_FC10001538	Major dietary changes in the last 5 years becuase of illness	Lifestyle_and_environment	binomial	0.0288	0.0025	1.1082	1.1406	1.008	0.0071	0.0566	0.0507	37724	298796	0.112100320931891	0.190599992688293	0.078907354544039
BIN_FC10001628	Alcohol intake versus 10 years previously (More nowadays)	Lifestyle_and_environment	binomial	0.0184	0.0024	1.0772	1.0861	1.0084	0.0067	0.0971	0.0775	54621	259025	0.174148562391996	0.256978121903919	0.0400725836561415
BIN_FC10001727	Ease of skin tanning (Get very tanned)	Lifestyle_and_environment	binomial	0.1116	0.0362	1.1428	1.4935	1.036	0.0097	0.073	0.0197	67912	263097	0.205166626889299	0.284262832504746	0.225219945131314
BIN_FC10001757	Facial ageing (Younger than you are)	Lifestyle_and_environment	binomial	0.06	0.004	1.1876	1.2479	1.0206	0.0077	0.083	0.031	231024	79770	0.743334813413386	0.322202598230117	0.110266759820274
BIN_FC10002267	Use of sun/uv protection (Never/rarely)	Lifestyle_and_environment	binomial	0.0249	0.0032	1.0864	1.1141	1.0123	0.0068	0.1082	0.0592	29019	307945	0.0861189919397918	0.157140264460225	0.079362068233801
BIN_FC10002644	Light smokers, at least 100 smokes in lifetime	Lifestyle_and_environment	binomial	0.0681	0.0073	1.071	1.085	1.0049	0.0062	0.058	0.0724	42776	50701	0.457609893342747	0.396688049197395	0.107412801173021
BIN_FC1001747	Hair colour (natural, before greying) blonde	Lifestyle_and_environment	binomial	0.1307	0.029	1.1619	1.5345	1.0556	0.0125	0.104	0.0235	38964	297523	0.115796449788551	0.195056832435545	0.35172298619766
BIN_FC10020116	Never Smoker	Lifestyle_and_environment	binomial	0.0835	0.0039	1.2831	1.3799	1.0275	0.0088	0.0723	0.0231	184857	151178	0.550112339488446	0.395790745813602	0.131920009105523
BIN_FC20001249	Past tobacco smoking (Smoked occasionally)	Lifestyle_and_environment	binomial	0.0262	0.0029	1.0864	1.1052	1.0069	0.0055	0.0654	0.0524	45702	265950	0.146644334064919	0.229656581943793	0.0621639871234163
BIN_FC20001468	Cereal type: Biscuit cereal (e.g. Weetabix)	Lifestyle_and_environment	binomial	0.0094	0.0024	1.0588	1.0591	1.0256	0.0063	0.4336	0.1062	53551	230359	0.188619632982283	0.270149940364755	0.0197119455989341
BIN_FC20001508	Coffee type: Instant coffee	Lifestyle_and_environment	binomial	0.0295	0.0027	1.1082	1.1181	1.0211	0.0067	0.1784	0.0563	153523	115129	0.571456754463023	0.392525534788846	0.0468882703825361
BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	Lifestyle_and_environment	binomial	0.0394	0.0179	1.0588	1.1786	1.0137	0.0095	0.0765	0.0532	137488	193521	0.415360307423665	0.389929653744263	0.0629269935693425
BIN_FC20001757	Facial ageing (Older than you are)	Lifestyle_and_environment	binomial	0.0151	0.002	1.0466	1.0576	0.9991	0.0063	<0	usually_indicates_GC_correction	6313	304481	0.0203124899451083	0.0490589077849931	0.124850973111867
BIN_FC20002267	Use of sun/uv protection (Sometimes)	Lifestyle_and_environment	binomial	0.0225	0.0031	1.0802	1.1059	1.0094	0.0063	0.089	0.0599	118628	218336	0.352049477095476	0.371183043837628	0.0372521899481568
BIN_FC2001747	Hair colour (natural, before greying) red	Lifestyle_and_environment	binomial	0.1097	0.0949	1.0345	1.5121	1.014	0.0111	0.0273	0.0216	15411	321076	0.0457996891410367	0.0961392231661204	0.518689545278632
BIN_FC20020116	Previous Smoker	Lifestyle_and_environment	binomial	0.0473	0.0029	1.1715	1.2094	1.0135	0.0074	0.0643	0.0354	120239	215796	0.357816894073534	0.373328749520621	0.0779826496671874
BIN_FC30001418	Milk type: Skimmed	Lifestyle_and_environment	binomial	0.02	0.002	1.0864	1.0934	1.0114	0.0066	0.1221	0.0703	72044	264934	0.213794372332912	0.291236254284274	0.0396343316830664
BIN_FC30001508	Coffee type: Ground coffee (include espresso, filter etc)	Lifestyle_and_environment	binomial	0.0602	0.0036	1.1908	1.2371	1.0333	0.0071	0.1403	0.0301	64327	204325	0.239443592454179	0.310479703139568	0.113727295518159
BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	Lifestyle_and_environment	binomial	0.0413	0.0151	1.071	1.1947	1.0255	0.008	0.1307	0.0409	73586	257423	0.222308154763164	0.297866946729098	0.0804763671167591
BIN_FC30001757	Facial ageing (About your age)	Lifestyle_and_environment	binomial	0.0527	0.0033	1.1587	1.205	1.0084	0.0075	0.0412	0.0364	80126	230668	0.257810639845042	0.322949301595505	0.0966846382613364
BIN_FC30006164	Types of physical activity in last 4 weeks (other exercises)	Lifestyle_and_environment	binomial	0.0569	0.0043	1.1144	1.138	1.0084	0.0069	0.0611	0.0497	168778	19838	0.894823344785172	0.182057073898583	0.161567427834097
BIN_FC3001747	Hair colour (natural, before greying) light brown	Lifestyle_and_environment	binomial	0.0509	0.0162	1.0741	1.2145	1.0268	0.0082	0.125	0.0383	140218	196269	0.416711492568807	0.390216166162512	0.0812505229007022
BIN_FC3006144	Never eat wheat	Lifestyle_and_environment	binomial	0.0242	0.016	1.0496	1.3762	0.9972	0.0106	<0	usually_indicates_GC_correction	9754	326609	0.0289984332402791	0.0661507704823073	0.155718430132479
BIN_FC40001249	Past tobacco smoking (Smoked at least once)	Lifestyle_and_environment	binomial	0.0639	0.0032	1.207	1.25	1.0095	0.0071	0.0379	0.0282	179577	132075	0.576210003465404	0.391640749100227	0.101731771653389
BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	Lifestyle_and_environment	binomial	0.1135	0.0475	1.1238	1.4995	1.0302	0.0118	0.0604	0.0237	59400	271609	0.17945131401261	0.261897195475909	0.243660517922483
BIN_FC40002267	Use of sun/uv protection (Always)	Lifestyle_and_environment	binomial	0.0393	0.0046	1.1333	1.1883	1.0158	0.0078	0.0837	0.0413	75974	260990	0.225466221910946	0.300264343588998	0.0761214188847416
BIN_FC4001747	Hair colour (natural, before greying) dark brown	Lifestyle_and_environment	binomial	0.1542	0.044	1.1683	1.6663	1.0538	0.0119	0.0808	0.0179	126626	209861	0.376317658631686	0.379612811703627	0.251142779908106
BIN_FC4006144	Never eat sugar	Lifestyle_and_environment	binomial	0.0439	0.0027	1.1587	1.182	1.0094	0.0066	0.0517	0.0362	67962	268401	0.202049571445135	0.281679396236325	0.0892047958853895
BIN_FC50001468	Cereal type: Other (e.g. Cornflakes, Frosties)	Lifestyle_and_environment	binomial	0.0344	0.0038	1.1082	1.1878	1.0109	0.0073	0.0582	0.0389	57049	226861	0.200940438871473	0.280751835670216	0.0700744555848659
BIN_FC5001747	Hair colour (natural, before greying) black	Lifestyle_and_environment	binomial	0.0678	0.02	1.0895	1.277	1.0313	0.01	0.1129	0.0363	14385	322102	0.0427505371678549	0.0909459967068584	0.335451105515777
BIN_FC6001747	Hair colour (natural, before greying) other	Lifestyle_and_environment	binomial	0.0058	0.0031	1.0165	1.0233	1.0007	0.0062	0.0296	0.2679	4328	332159	0.0128623096880414	0.0331684704699845	0.0669381645581442
BIN_FC7001747	Hair colour (natural, before greying) brown	Lifestyle_and_environment	binomial	0.088	0.0498	1.0772	1.4133	1.028	0.0099	0.0678	0.0239	264874	71613	0.787174541661342	0.290465977843815	0.174737753323089
BIN1210	Snoring	Lifestyle_and_environment	binomial	0.0532	0.0035	1.1683	1.2173	1.0134	0.0069	0.0618	0.032	121971	193964	0.386063589029389	0.382559625435498	0.0861579981977488
BIN23066	JCV seropositivity for Human Polyomavirus JCV	Blood_assays	binomial	0.6577	0.3185	1.0195	1.0544	0.9793	0.0081	<0	usually_indicates_GC_correction	3763	2880	0.56646093632395	0.393393434562419	1.04369073420902
BIN23067	MCV seropositivity for Merkel Cell Polyomavirus	Blood_assays	binomial	0.5266	0.3568	1.0135	1.0489	0.988	0.0081	<0	usually_indicates_GC_correction	4388	2255	0.660544934517537	0.366185160608326	0.880570299758361
BIN100240	Coffee consumed	Diet_by_24-hour_recall	binomial	0.0366	0.0049	1.0618	1.0695	1.0029	0.0066	0.0411	0.0946	113686	32288	0.778809925055147	0.297010162433095	0.0714719415658071
BIN100580	Alcohol consumed	Diet_by_24-hour_recall	binomial	0.0416	0.0047	1.0618	1.0771	0.9971	0.0061	<0	usually_indicates_GC_correction	93623	52351	0.641367640812748	0.373624933314931	0.0685453734962971
BIN21068	Diagnosed with coeliac disease or gluten sensitivity	Digestive_health	binomial	0.0813	0.0527	1.0405	1.5724	0.9789	0.0113	<0	usually_indicates_GC_correction	2294	119295	0.0188668382830684	0.0460774278161325	0.708828502448231
BIN_FC40020489	Often felt loved as a child	Mental_health	binomial	0.0786	0.0078	1.0833	1.0943	1.0116	0.0057	0.1226	0.0601	58044	23650	0.710505055450829	0.342024202624603	0.138202858031199
BIN10030500	Microalbumin > 40 mg/L	Others	binomial	0.0256	0.0026	1.0864	1.1201	1.0038	0.0067	0.0316	0.0561	23590	303856	0.0720424131001753	0.137266670104199	0.0908293375267709
BIN10030800	Oestradiol > 212 pmol/L	Others	binomial	0.0078	0.0021	0.9489	0.9581	0.9235	0.0054	NA	mean_chi^2<1	38695	260899	0.129158127332323	0.210595153605367	0.019781485409683
BIN10030820	Rheumatoid factor > 16 IU/mL	Others	binomial	0.039	0.0175	1.0649	1.5441	0.9895	0.0103	<0	usually_indicates_GC_correction	16699	304669	0.0519622364392223	0.106344756746594	0.169881432506738
BIN30030510	UACR > 30 mg/g	Others	binomial	0.0177	0.0024	1.0649	1.0817	1.0036	0.0071	0.0442	0.0864	14248	313193	0.0435131825275393	0.0922542764519604	0.086556580247957
BIN_FC30022506	Tobacco smoking ever vs no	Work_environment	binomial	0.069	0.0085	1.0864	1.0905	1.0162	0.0066	0.1785	0.0732	34293	51373	0.400310508252983	0.386421075092061	0.110930484867238
BIN22126	Doctor diagnosed hayfever or allergic rhinitis	Work_environment	binomial	0.1037	0.0131	1.0772	1.1194	0.9942	0.0064	<0	usually_indicates_GC_correction	19543	66536	0.227035630060758	0.301443363743014	0.200272258803229
BIN22127	Doctor diagnosed asthma	Work_environment	binomial	0.0868	0.0215	1.0557	1.1095	0.9954	0.0088	<0	usually_indicates_GC_correction	10934	75145	0.127022851101895	0.208170613917088	0.222108721087436
BIN_FC10006160	Leisure/social activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)	Psychosocial_factors	binomial	0.0318	0.0023	1.1301	1.1519	1.015	0.0063	0.0991	0.0412	239089	97257	0.710842406331575	0.341836853450262	0.0559367572363949
BIN_FC20006160	Leisure/social activities (attend sports club or gym in once a week or more often)	Psychosocial_factors	binomial	0.0658	0.004	1.1587	1.1866	1.0139	0.0066	0.0746	0.0355	106491	102380	0.509841002341158	0.39882089662817	0.103381260011869
BIN_FC50006160	Leisure/social activities (attend adult edication class in once a week or more often)	Psychosocial_factors	binomial	0.0645	0.0061	1.105	1.1209	1.0099	0.0065	0.082	0.0539	26067	105111	0.198714723505466	0.278877250320304	0.13205375306433
BIN1950	Sensitivity / hurt feelings	Psychosocial_factors	binomial	0.0493	0.003	1.1876	1.2557	1.0264	0.0071	0.1031	0.0277	185568	143033	0.564721348991634	0.39368074577729	0.0781916077556501
BIN1980	Worrier / anxious feelings	Psychosocial_factors	binomial	0.0699	0.0038	1.2136	1.3033	0.9958	0.0081	<0	usually_indicates_GC_correction	189895	139449	0.57658557617567	0.391568381269778	0.111299026726584
BIN2000	Worry too long after embarrassment	Psychosocial_factors	binomial	0.0545	0.003	1.1843	1.2373	1.018	0.0066	0.0757	0.028	159120	165666	0.489922595185753	0.398814994458604	0.0856282564152138
BIN2010	Suffer from 'nerves'	Psychosocial_factors	binomial	0.033	0.0029	1.1333	1.1708	1.0207	0.0068	0.1211	0.0401	71809	254322	0.220184527076543	0.296236016841538	0.0645679303049042
BIN2020	Loneliness, isolation	Psychosocial_factors	binomial	0.0324	0.0024	1.1301	1.1534	1.0159	0.0068	0.1038	0.0444	61270	271313	0.184224689776687	0.266233307006452	0.0686971353710919
BIN2040	Risk taking	Psychosocial_factors	binomial	0.0476	0.0027	1.1715	1.2095	1.0109	0.0069	0.052	0.0329	85683	241056	0.262236831232268	0.32579656969629	0.0867610095285528
INI12144	Height	Anthropometry	gaussian	0.4645	0.0379	1.1364	1.2256	1.0109	0.007	0.0482	0.0311	NA	NA	NA	NA	NA
INI20015	Sitting height	Anthropometry	gaussian	0.3169	0.0145	1.6869	2.803	1.1593	0.0174	0.0883	0.0097	NA	NA	NA	NA	NA
INI21001	BMI	Anthropometry	gaussian	0.2221	0.0096	1.6145	1.9812	1.0671	0.0116	0.0684	0.0118	NA	NA	NA	NA	NA
INI21002	Weight	Anthropometry	gaussian	0.2456	0.0103	1.6334	2.1351	1.0645	0.0131	0.0568	0.0115	NA	NA	NA	NA	NA
INI23099	Body fat %	Anthropometry	gaussian	0.2046	0.0078	1.5845	1.8966	1.0722	0.01	0.0805	0.0111	NA	NA	NA	NA	NA
INI23100	Whole body fat mass	Anthropometry	gaussian	0.2159	0.009	1.5883	1.9444	1.0623	0.0106	0.066	0.0112	NA	NA	NA	NA	NA
INI23101	Whole body fat-free mass	Anthropometry	gaussian	0.2815	0.0116	1.6677	2.3653	1.105	0.0144	0.0769	0.0106	NA	NA	NA	NA	NA
INI23102	Whole body water mass	Anthropometry	gaussian	0.2816	0.0115	1.6677	2.3615	1.1041	0.0146	0.0764	0.0107	NA	NA	NA	NA	NA
INI23105	Basal metabolic rate	Anthropometry	gaussian	0.2761	0.0113	1.6677	2.3146	1.0919	0.014	0.0699	0.0107	NA	NA	NA	NA	NA
INI23106	Impedance of whole body	Anthropometry	gaussian	0.2334	0.0091	1.6108	2.0599	1.0842	0.0124	0.0795	0.0117	NA	NA	NA	NA	NA
INI23107	Impedance of leg (R)	Anthropometry	gaussian	0.2119	0.009	1.5733	1.9831	1.0936	0.0117	0.0952	0.0119	NA	NA	NA	NA	NA
INI23108	Impedance of leg (L)	Anthropometry	gaussian	0.2157	0.0089	1.5771	1.9855	1.0819	0.0112	0.0831	0.0114	NA	NA	NA	NA	NA
INI23109	Impedance of arm (R)	Anthropometry	gaussian	0.2132	0.0085	1.5622	1.9514	1.0804	0.0128	0.0845	0.0134	NA	NA	NA	NA	NA
INI23110	Impedance of arm (L)	Anthropometry	gaussian	0.2149	0.0085	1.5659	1.9584	1.0803	0.0123	0.0838	0.0128	NA	NA	NA	NA	NA
INI23111	Leg fat % (R)	Anthropometry	gaussian	0.1997	0.0074	1.5845	1.866	1.0663	0.0106	0.0766	0.0122	NA	NA	NA	NA	NA
INI23112	Leg fat mass (R)	Anthropometry	gaussian	0.2105	0.0086	1.5771	1.916	1.0575	0.0104	0.0628	0.0113	NA	NA	NA	NA	NA
INI23113	Leg fat-free mass (R)	Anthropometry	gaussian	0.2592	0.0108	1.6486	2.2653	1.0984	0.0141	0.0778	0.0111	NA	NA	NA	NA	NA
INI23114	Leg pred. mass (R)	Anthropometry	gaussian	0.2592	0.0108	1.6486	2.2629	1.0976	0.014	0.0773	0.0111	NA	NA	NA	NA	NA
INI23115	Leg fat % (L)	Anthropometry	gaussian	0.1993	0.0076	1.5845	1.8734	1.0704	0.0107	0.0806	0.0122	NA	NA	NA	NA	NA
INI23117	Leg fat-free mass (L)	Anthropometry	gaussian	0.2596	0.0107	1.6448	2.2469	1.0892	0.0136	0.0715	0.0109	NA	NA	NA	NA	NA
INI23118	Leg pred. mass (L)	Anthropometry	gaussian	0.259	0.0107	1.6448	2.2442	1.0894	0.0136	0.0718	0.0109	NA	NA	NA	NA	NA
INI23119	Arm fat % (R)	Anthropometry	gaussian	0.1988	0.008	1.5696	1.863	1.067	0.0093	0.0776	0.0108	NA	NA	NA	NA	NA
INI23120	Arm fat mass (R)	Anthropometry	gaussian	0.2108	0.0091	1.5733	1.9159	1.0578	0.0104	0.0631	0.0114	NA	NA	NA	NA	NA
INI23121	Arm fat-free mass (R)	Anthropometry	gaussian	0.2552	0.0105	1.6259	2.2085	1.0897	0.0135	0.0742	0.0112	NA	NA	NA	NA	NA
