trait_category	trait	trait_name	PGScatalog_ID	EFO_ID	EFO_label
Disease_outcome	HC83	Fracture forearm / wrist	PGS001026	EFO_0009514	upper extremity fracture
Disease_outcome	HC830	TTE hereditary and idiopathic neuropathy			
Disease_outcome	HC831	TTE inflammatory polyneuropathy			
Disease_outcome	HC84	Pulmonary fibrosis	PGS001030	EFO_0009448	pulmonary fibrosis
Disease_outcome	HC840	TTE hemiplegia			
Disease_outcome	HC842	TTE other paralytic syndromes			
Disease_outcome	HC846	TTE other disorders of brain			
Disease_outcome	HC85	Enlarged prostate	PGS001015	EFO_0009602	prostate disease
Disease_outcome	HC857	TTE disorders of lachrymal system			
Disease_outcome	HC859	TTE disorders of lachrymal system and orbit in diseases classified elsewhere			
Disease_outcome	HC86	Migraine	PGS001281	EFO_0003821	migraine disorder
Disease_outcome	HC861	TTE other disorders of conjunctiva			
Disease_outcome	HC865	TTE corneal scars and opacities			
Disease_outcome	HC866	TTE other disorders of cornea	PGS001029	EFO_0009464	corneal disease
Disease_outcome	HC868	TTE iridocyclitis	PGS000941	HP_0001094	Iridocyclitis
Disease_outcome	HC87	Spina bifida			
Disease_outcome	HC872	TTE other cataract	PGS001303	EFO_0001059	cataract
Disease_outcome	HC878	TTE retinal detachments and breaks	PGS000990	EFO_0010698|EFO_0005773	retinal break|retinal detachment
Disease_outcome	HC88	Heart/cardiac problem			
Disease_outcome	HC880	TTE other retinal disorders	PGS001275	EFO_0003839	retinopathy
Disease_outcome	HC881	TTE retinal disorders in diseases classified elsewhere	PGS001276	EFO_0003839	retinopathy
Disease_outcome	HC882	TTE glaucoma	PGS001323	EFO_0000516	glaucoma
Disease_outcome	HC885	TTE disorders of globe			
Disease_outcome	HC887	TTE optic neuritis			
Disease_outcome	HC895	TTE blindness and low vision			
Disease_outcome	HC9	Renal failure not requiring dialysis			
Disease_outcome	HC900	TTE otitis externa			
Disease_outcome	HC906	TTE eustachian salpingitis and obstruction			
Disease_outcome	HC909	TTE cholesteatoma of middle ear			
Disease_outcome	HC91	Psoriatic arthropathy	PGS001287	EFO_0003778	psoriatic arthritis
Disease_outcome	HC911	TTE other disorders of tympanic membrane			
Disease_outcome	HC914	TTE otosclerosis	PGS001255	EFO_0004213	otosclerosis
Disease_outcome	HC915	TTE disorders of vestibular function			
Disease_outcome	HC918	TTE conductive and sensorineural hearing loss			
Disease_outcome	HC92	Allergy to elastoplast			
Disease_outcome	HC93	Dry eyes			
Disease_outcome	HC932	TTE essential (primary hypertension)	PGS000957	EFO_1002032	primary hypertension
Disease_outcome	HC937	TTE angina pectoris	PGS001261	EFO_0003913	angina pectoris
Disease_outcome	HC938	TTE acute myocardial infarction	PGS001314	EFO_0000612	myocardial infarction
Disease_outcome	HC941	TTE other acute ischaemic heart diseases			
Disease_outcome	HC942	TTE chronic ischaemic heart disease	PGS000962	EFO_1001375	Myocardial Ischemia
Disease_outcome	HC943	TTE PE	PGS001280	EFO_0003827	pulmonary embolism
Disease_outcome	HC95	Inflammatory bowel disease	PGS001288	EFO_0003767	inflammatory bowel disease
Disease_outcome	HC951	TTE nonrheumatic aortic valve disorders	PGS001025	EFO_0009531	aortic valve disease
Disease_outcome	HC96	Polymyalgia rheumatica	PGS001051	EFO_0008518	polymyalgia rheumatica
Disease_outcome	HC964	TTE atrial fibrillation and flutter	PGS001339	EFO_0000275|EFO_0003911	atrial fibrillation|atrial flutter
Disease_outcome	HC965	TTE other cardiac arrhythmias			
Disease_outcome	HC966	TTE heart failure			
Disease_outcome	HC967	TTE complications and ill-defined descriptions of heart disease			
Disease_outcome	HC972	TTE cerebral infarction			
Disease_outcome	HC980	TTE aortic aneurysm and dissection			
Disease_outcome	HC981	TTE other aneurysm			
Disease_outcome	HC982	TTE other peripheral vascular diseases			
Disease_outcome	HC983	TTE arterial embolism and thrombosis			
Disease_outcome	HC984	TTE other disorders of arteries and arterioles			
Disease_outcome	HC987	TTE phlebitis and thrombophlebitis	PGS000961	EFO_1001395|HP_0004418	Phlebitis|Thrombophlebitis
Disease_outcome	HC990	TTE varicose veins of lower extremities	PGS000938	HP_0002619	Varicose veins
Disease_outcome	HC992	TTE oesophageal varices			
Disease_outcome	HC998	TTE postprocedural disorders of circulatory system, not elsewhere classified			
Disease_outcome	HC999	TTE other disorders of circulatory system in diseases classified elsewhere			
Family_history	BIN_FC10001797	Father still alive			
Family_history	BIN_FC10001835	Mother still alive			
Family_history	FH1001	Lung cancer (FH)	PGS001392	EFO_0006953	family history of lung cancer
Family_history	FH1002	Breast cancer (FH)	PGS001337	EFO_0005606	family history of breast cancer
Family_history	FH1019	Bowel cancer (FH)			
Family_history	FH1044	Prostate cancer (FH)	PGS001292	EFO_0009640	family history of cancer
Family_history	FH1065	High BP (FH)	PGS001324	EFO_0000493	family history
Family_history	FH1113	Chronic bronchitis/emphysema (FH)	PGS001132	EFO_0000493	family history
Family_history	FH1220	Diabetes (FH)	PGS001328	EFO_0000493	family history
Family_history	FH1263	Alzheimer's/dementia (FH)	PGS001347	EFO_0009268	family history of Alzheimer’s disease
Family_history	FH1286	Severe depression (FH)			
Health_and_medical_history	BIN_FC10002492	Taking other prescription medications	PGS001118	EFO_0007010	drug use measurement
Health_and_medical_history	BIN_FC10002986	Started insulin within one year diagnosis of diabetes	PGS001117	EFO_0007010	drug use measurement
Health_and_medical_history	BIN_FC10005518	Leg pain on walking : effect of standing still (Pain usually continues for more than 10 minutes)			
Health_and_medical_history	BIN_FC10005855	Which eye(s) affected by astigmatism (Right eye)			
Health_and_medical_history	BIN_FC10005934	Which eye(s) affected by other serious eye condition (Right eye)			
Health_and_medical_history	BIN_FC10006151	Fractured bone site(s) (Ankle)			
Health_and_medical_history	BIN_FC10006152	Hayfever allergic rhinitis or eczema	PGS001284	EFO_0003785	allergy
Health_and_medical_history	BIN_FC10006179	Zinc supplements			
Health_and_medical_history	BIN_FC1002247	Hearing difficulty	PGS001253	EFO_0004238	hearing loss
Health_and_medical_history	BIN_FC1002306	Weight change compared with 1 year ago	PGS001006	EFO_0009799|EFO_0004338	self-reported trait|body weight
Health_and_medical_history	BIN_FC1006148	Eye problems/disorders Diabetic eye disease	PGS001028	EFO_0009486	diabetic eye disease
Health_and_medical_history	BIN_FC1006149	Mouth ulcers	PGS000947	HP_0000155	Oral ulcer
Health_and_medical_history	BIN_FC1006150	Vascular/heart problems diagnosed by doctor Heart attack	PGS001317	EFO_0000612	myocardial infarction
Health_and_medical_history	BIN_FC1006152	DVT diagnosed by doctor	PGS001266	EFO_0003907	deep vein thrombosis
Health_and_medical_history	BIN_FC1006154	Aspirin	PGS001112	EFO_0007013	aspirin use measurement
Health_and_medical_history	BIN_FC11006152	Blood clot or DVT diagnosed by doctor	PGS000931	MONDO_0000831|EFO_0003907	thrombotic disease|deep vein thrombosis
Health_and_medical_history	BIN_FC11006179	Iron supplements			
Health_and_medical_history	BIN_FC12006152	Blood clot in the leg (DVT) or lung	PGS001278	EFO_0003827|EFO_0003907	pulmonary embolism|deep vein thrombosis
Health_and_medical_history	BIN_FC12006155	Vitamin B9 vs multivitamin			
Health_and_medical_history	BIN_FC15006155	Vitamin C			
Health_and_medical_history	BIN_FC18006155	Folic acid or folate (Vitamin B9)	PGS001153	EFO_0005111	folic acid measurement
Health_and_medical_history	BIN_FC20005441	Which eye(s) are affected by cataract (Left eye)			
Health_and_medical_history	BIN_FC20005507	Leg pain on walking : action taken (Slow down)			
Health_and_medical_history	BIN_FC20005518	Leg pain on walking : effect of standing still (Pain usually disappears in less than 10 minutes)			
Health_and_medical_history	BIN_FC20005843	Which eye(s) affected by myopia (short sight) (Left eye)			
Health_and_medical_history	BIN_FC20006119	Which eye(s) affected by glaucoma (Left eye)			
Health_and_medical_history	BIN_FC2006148	Eye problems/disorders Glaucoma	PGS001321	EFO_0000516	glaucoma
Health_and_medical_history	BIN_FC2006150	Vascular/heart problems diagnosed by doctor Angina	PGS001262	EFO_0003913	angina pectoris
Health_and_medical_history	BIN_FC2006154	Ibuprofen (e.g. Nurofen)	PGS001116	EFO_0007012	NSAID use measurement
Health_and_medical_history	BIN_FC2006155	Vitamin B vs no supplement			
Health_and_medical_history	BIN_FC2006179	Glucosamine	PGS001044	EFO_0009116	vitamin supplement exposure measurement
Health_and_medical_history	BIN_FC30005507	Leg pain on walking : action taken (Continue at same pace)			
Health_and_medical_history	BIN_FC3002247	Hearing difficulty and Deafness	PGS001252	EFO_0004238|EFO_0001063	hearing loss|deafness
Health_and_medical_history	BIN_FC3006152	Blood clot diagnosed by doctor	PGS000930	MONDO_0000831	thrombotic disease
Health_and_medical_history	BIN_FC3006155	Vitamin C vs no supplement			
Health_and_medical_history	BIN_FC40006151	Fractured bone site(s) (Spine)			
Health_and_medical_history	BIN_FC4006148	Eye problems/disorders Cataract			
Health_and_medical_history	BIN_FC4006149	Loose teeth			
Health_and_medical_history	BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	PGS001335	EFO_0000319	cardiovascular disease
Health_and_medical_history	BIN_FC4006152	Asthma diagnosed by doctor	PGS001344	EFO_0000270	asthma
Health_and_medical_history	BIN_FC5006148	Eye problems/disorders Macular degeneration	PGS001013	EFO_0009606	macular degeneration
Health_and_medical_history	BIN_FC5006149	Toothache			
Health_and_medical_history	BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	PGS001285	EFO_0003785	allergy
Health_and_medical_history	BIN_FC6006149	Dentures	PGS000995	EFO_0010078	dentures
Health_and_medical_history	BIN_FC6006152	Blood clot in the leg (DVT)	PGS001265	EFO_0003907	deep vein thrombosis
Health_and_medical_history	BIN_FC6006155	Vitamin B9 vs no supplement	PGS001045	EFO_0009116	vitamin supplement exposure measurement
Health_and_medical_history	BIN_FC7006152	Emphysema or chronic bronchitis			
Health_and_medical_history	BIN_FC7006154	Aspirin use self-reported	PGS001113	EFO_0007013	aspirin use measurement
Health_and_medical_history	BIN_FC7006155	Vitamin A vs multivitamin			
Health_and_medical_history	BIN_FC8006152	Blood clot in the lung	PGS001279	EFO_0003827|EFO_0003907	pulmonary embolism|deep vein thrombosis
Health_and_medical_history	BIN_FC8006154	Ibuprofen use self-reported	PGS001114	EFO_0007012|EFO_0009799	NSAID use measurement|self-reported trait
Health_and_medical_history	BIN_FC8006179	Glucosamine supplements			
Health_and_medical_history	BIN_FC9006154	Paracetamol use self-reported	PGS001115	EFO_0007012|EFO_0009799	NSAID use measurement|self-reported trait
Health_and_medical_history	BIN_FC9006179	Calcium supplements			
Health_and_medical_history	BIN3606	Chest pain or discomfort walking normally			
Health_and_medical_history	BIN3616	Chest pain due to walking ceases when standing still			
Health_and_medical_history	BIN3751	Chest pain or discomfort when walking uphill or hurrying			
Health_and_medical_history	BIN5452	Leg pain when standing still or sitting			
Health_and_medical_history	BIN5474	Leg pain when walking uphill or hurrying			
Health_and_medical_history	BIN5485	Leg pain when walking normally			
Lifestyle_and_environment	BIN_FC10001538	Major dietary changes in the last 5 years becuase of illness	PGS001063	EFO_0008111	diet measurement
Lifestyle_and_environment	BIN_FC10001628	Alcohol intake versus 10 years previously (More nowadays)	PGS001085	EFO_0007878|EFO_0007645	alcohol consumption measurement|longitudinal alcohol consumption measurement
Lifestyle_and_environment	BIN_FC10001727	Ease of skin tanning (Get very tanned)	PGS001246	EFO_0004279	suntan
Lifestyle_and_environment	BIN_FC10001757	Facial ageing (Younger than you are)	PGS001141	EFO_0005422	skin aging
Lifestyle_and_environment	BIN_FC10002267	Use of sun/uv protection (Never/rarely)	PGS000982	EFO_0010729	sun exposure measurement
Lifestyle_and_environment	BIN_FC10002644	Light smokers, at least 100 smokes in lifetime	PGS001139	EFO_0005671	smoking behaviour measurement
Lifestyle_and_environment	BIN_FC1001747	Hair colour (natural, before greying) blonde	PGS001093	EFO_0007822	hair colour measurement
Lifestyle_and_environment	BIN_FC10020116	Never Smoker	PGS001127	EFO_0006527	smoking status measurement
Lifestyle_and_environment	BIN_FC1006144	Never eat eggs			
Lifestyle_and_environment	BIN_FC20001249	Past tobacco smoking (Smoked occasionally)	PGS001047	EFO_0009115	tobacco smoke exposure measurement
Lifestyle_and_environment	BIN_FC20001428	Spread type: Butter/spreadable butter			
Lifestyle_and_environment	BIN_FC20001448	Bread type: Brown			
Lifestyle_and_environment	BIN_FC20001468	Cereal type: Biscuit cereal (e.g. Weetabix)	PGS001058	EFO_0008111	diet measurement
Lifestyle_and_environment	BIN_FC20001508	Coffee type: Instant coffee	PGS001125	EFO_0006781	coffee consumption measurement
Lifestyle_and_environment	BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	PGS001245	EFO_0004279	suntan
Lifestyle_and_environment	BIN_FC20001757	Facial ageing (Older than you are)	PGS001072	EFO_0008006	skin aging measurement
Lifestyle_and_environment	BIN_FC20002267	Use of sun/uv protection (Sometimes)	PGS001535	EFO_0010729	sun exposure measurement
Lifestyle_and_environment	BIN_FC20006157	Why stopped smoking doctor advice			
Lifestyle_and_environment	BIN_FC2001747	Hair colour (natural, before greying) red	PGS001098	EFO_0007822	hair colour measurement
Lifestyle_and_environment	BIN_FC20020116	Previous Smoker	PGS001128	EFO_0006527	smoking status measurement
Lifestyle_and_environment	BIN_FC30001418	Milk type: Skimmed	PGS001064	EFO_0008111	diet measurement
Lifestyle_and_environment	BIN_FC30001508	Coffee type: Ground coffee (include espresso, filter etc)	PGS001124	EFO_0006781	coffee consumption measurement
Lifestyle_and_environment	BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	PGS001244	EFO_0004279	suntan
Lifestyle_and_environment	BIN_FC30001757	Facial ageing (About your age)	PGS001071	EFO_0008006	skin aging measurement
Lifestyle_and_environment	BIN_FC30002267	Use of sun/uv protection (Most of the time)			
Lifestyle_and_environment	BIN_FC30002654	Non-butter spread type: Olive oil based spread (eg: Bertolli)			
Lifestyle_and_environment	BIN_FC30003446	Type of tobacco currently smoked (cigars or pipes)			
Lifestyle_and_environment	BIN_FC30003486	Ever tried to stop smoking succeeded vs no			
Lifestyle_and_environment	BIN_FC30006164	Types of physical activity in last 4 weeks (other exercises)	PGS001074	EFO_0008002	physical activity measurement
Lifestyle_and_environment	BIN_FC3001747	Hair colour (natural, before greying) light brown	PGS001096	EFO_0007822	hair colour measurement
Lifestyle_and_environment	BIN_FC3006144	Never eat wheat	PGS001065	EFO_0008111	diet measurement
Lifestyle_and_environment	BIN_FC40001249	Past tobacco smoking (Smoked at least once)	PGS001046	EFO_0009115	tobacco smoke exposure measurement
Lifestyle_and_environment	BIN_FC40001448	Bread type: Other type of bread			
Lifestyle_and_environment	BIN_FC40001468	Cereal type: Muesli			
Lifestyle_and_environment	BIN_FC40001508	Coffee type: Other type of coffee			
Lifestyle_and_environment	BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	PGS001247	EFO_0004279	suntan
Lifestyle_and_environment	BIN_FC40002267	Use of sun/uv protection (Always)	PGS000980	EFO_0010729	sun exposure measurement
Lifestyle_and_environment	BIN_FC40002654	Non-butter spread type: Polyunsaturated/sunflower oil based spread (eg: Flora)			
Lifestyle_and_environment	BIN_FC4001747	Hair colour (natural, before greying) dark brown	PGS001095	EFO_0007822	hair colour measurement
Lifestyle_and_environment	BIN_FC4006144	Never eat sugar	PGS000991	EFO_0010158	sugar consumption measurement
Lifestyle_and_environment	BIN_FC50001468	Cereal type: Other (e.g. Cornflakes, Frosties)	PGS001059	EFO_0008111	diet measurement
Lifestyle_and_environment	BIN_FC50002267	Use of sun/uv protection (Do not go out in sunshine)			
Lifestyle_and_environment	BIN_FC5001747	Hair colour (natural, before greying) black	PGS001092	EFO_0007822	hair colour measurement
Lifestyle_and_environment	BIN_FC6001747	Hair colour (natural, before greying) other	PGS001097	EFO_0007822	hair colour measurement
Lifestyle_and_environment	BIN_FC7001747	Hair colour (natural, before greying) brown	PGS001094	EFO_0007822	hair colour measurement
Lifestyle_and_environment	BIN1210	Snoring	PGS001054	EFO_0008341	snoring measurement
Blood_assays	BIN23051	HSV-2 seropositivity for Herpes Simplex virus-2			
Blood_assays	BIN23054	CMV seropositivity for Human Cytomegalovirus			
Blood_assays	BIN23055	HHV-6 overall seropositivity for Human Herpesvirus-6			
Blood_assays	BIN23056	HHV-6A seropositivity for Human Herpesvirus-6			
Blood_assays	BIN23059	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus			
Blood_assays	BIN23063	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1			
Blood_assays	BIN23065	BKV seropositivity for Human Polyomavirus BKV			
Blood_assays	BIN23066	JCV seropositivity for Human Polyomavirus JCV	PGS000976	EFO_0010907	polyomavirus 2 seropositivity
Blood_assays	BIN23067	MCV seropositivity for Merkel Cell Polyomavirus	PGS000977	EFO_0010906	merkel cell virus seropositivity
Blood_assays	BIN23068	HPV 16 Definition I seropositivity for Human Papillomavirus type-16			
Blood_assays	BIN23069	HPV 18 seropositivity for Human Papillomavirus type-18			
Blood_assays	BIN23070	C. trachomatis Definition I seropositivity for Chlamydia trachomatis			
Blood_assays	BIN23073	H. pylori Definition I seropositivity for Helicobacter pylori			
Blood_assays	BIN23075	HPV 16 Definition II seropositivity for Human Papillomavirus type-16			
Bone-densitometry_of_heel	BIN4093	Fractured heel (L)			
Brain_MRI	BIN12139	Believed safe to perform brain MRI scan			
Brain_MRI	BIN12188	Brain MRI measurement completed			
Diet_by_24-hour_recall	BIN100240	Coffee consumed	PGS001123	EFO_0006781	coffee consumption measurement
Diet_by_24-hour_recall	BIN100580	Alcohol consumed	PGS001086	EFO_0007878	alcohol consumption measurement
Diet_by_24-hour_recall	BIN102080	Yogurt/ice-cream consumers			
Diet_by_24-hour_recall	BIN102800	Cheese consumers			
Diet_by_24-hour_recall	BIN102930	Egg consumers			
Diet_by_24-hour_recall	BIN104400	Fruit consumers			
Digestive_health	BIN21027	Abdominal discomfort/pain for 6 months or longer			
Digestive_health	BIN21035	Currently (in last 3 months) suffer from abdominal pain			
Digestive_health	BIN21038	Currently suffer from abdominal distension			
Digestive_health	BIN21068	Diagnosed with coeliac disease or gluten sensitivity	PGS001300	EFO_0001060	celiac disease
Digestive_health	BIN21071	Infectious illness diagnosis status when IBS symptoms first began			
Digestive_health	BIN21073	Fever when IBS symptoms first began			
Digestive_health	BIN21075	Bloody diarrhoea when IBS symptoms first began			
Early_life_factors	BIN_FC10001707	Handedness (chirality/laterality) (Right-handed)			
Eye_measures	BIN_FC1005164	3mm regularity index for irregular astigmatism level (R)			
Eye_measures	BIN_FC20006074	Glasses worn elsewhere (right eye) besides during visual acuity test			
Eye_measures	BIN5181	Ever had eye surgery			
Eye_measures	BIN5324	Ever had cataract surgery			
Eye_measures	BIN5326	Ever had surgery for glaucoma or high eye pressure			
Eye_measures	BIN5328	Ever had corneal graft surgery			
Hospital_inpatient	BIN41215	Detention categories			
Mental_health	BIN_FC100020544	Bulimia nervosa diagnosed by a professional			
Mental_health	BIN_FC10020487	Never felt hated by family member as a child			
Mental_health	BIN_FC10020488	Never Physically abused by family as a child			
Mental_health	BIN_FC10020490	Never Sexually molested as a child			
Mental_health	BIN_FC10020523	Never Physical violence by partner or ex-partner as an adult			
Mental_health	BIN_FC10020536	Weight changed during worst episode of depression			
Mental_health	BIN_FC10020552	Other non-behavioral addiction			
Mental_health	BIN_FC20020487	Rarely Felt hated by family member as a child			
Mental_health	BIN_FC20020492	Longest period of mania or irritability at least a day but less than a week			
Mental_health	BIN_FC20020522	Rarely Been in a confiding relationship as an adult			
Mental_health	BIN_FC20020526	Been in a serious accident believed to be life-threatening not within the last 12 months			
Mental_health	BIN_FC20020537	Sometimes has difficulty controlling worry during worst period of anxiety			
Mental_health	BIN_FC20020548	Manifestations of mania or irritability More restless vs any			
Mental_health	BIN_FC30020487	Sometimes Felt hated by family member as a child			
Mental_health	BIN_FC30020492	Longest period of mania or irritability a week or more			
Mental_health	BIN_FC30020523	Sometimes Physical violence by partner or ex-partner as an adult			
Mental_health	BIN_FC30020537	Often has difficulty controlling worry during worst period of anxiety			
Mental_health	BIN_FC30020539	Often has inability to stop worry during worst period of anxiety			
Mental_health	BIN_FC40020489	Often felt loved as a child	PGS001090	EFO_0007869	wellbeing measurement
Mental_health	BIN_FC40020525	Often Able to pay rent/mortgage as an adult			
Mental_health	BIN_FC40020537	Never has difficulty controlling worry during worst period of anxiety			
Mental_health	BIN_FC40020539	Never has inability to stop worry during worst period of anxiety			
Mental_health	BIN_FC40020544	Other personality disorder diagnosed by a professional			
Mental_health	BIN_FC50020488	Very Often Physically abused by family as a child			
Mental_health	BIN_FC50020544	Phobia diagnosed by a professional			
Mental_health	BIN_FC80020548	Manifestations of mania or irritability More active vs any			
Mental_health	BIN1020483	Ever attempted suicide missing is control			
Mental_health	BIN20406	Ever addicted to alcohol			
Mental_health	BIN20417	Tense, sore, or aching muscles during worst period of anxiety			
Mental_health	BIN20419	Difficulty concentrating during worst period of anxiety			
Mental_health	BIN20428	Professional informed about anxiety			
Mental_health	BIN20431	Ever addicted to a behaviour or miscellanous			
Mental_health	BIN20437	Thoughts of death during worst depression			
Mental_health	BIN20496	Mania needed treatment or caused problems with work, relationships, finances, the law, or other aspects of life			
Mental_health	BIN20500	Ever suffered mental distress preventing usual activities			
Mental_health	BIN20532	Did your sleep change?			
Mental_health	BIN20534	Sleeping too much			
Mental_health	BIN20538	Worried most days during period of worst anxiety			
Mental_health	BIN20540	Multiple worries during worst period of anxiety			
Others	BIN10030500	Microalbumin > 40 mg/L	PGS000972	EFO_0010967	urinary microalbumin measurement
Others	BIN10030800	Oestradiol > 212 pmol/L	PGS001182	EFO_0004697	estradiol measurement
Others	BIN10030820	Rheumatoid factor > 16 IU/mL	PGS001138	EFO_0005767	rheumatoid factor measurement
Others	BIN30030510	UACR > 30 mg/g	PGS001107	EFO_0007778	urinary albumin to creatinine ratio
Work_environment	BIN_FC10022506	Tobacco smoking current vs non			
Work_environment	BIN_FC20022506	Tobacco smoking current vs past			
Work_environment	BIN_FC30022506	Tobacco smoking ever vs no	PGS001129	EFO_0006527	smoking status measurement
Work_environment	BIN22126	Doctor diagnosed hayfever or allergic rhinitis	PGS001286	EFO_0003785	allergy
Work_environment	BIN22127	Doctor diagnosed asthma	PGS001345	EFO_0000270	asthma
Work_environment	BIN22133	Doctor diagnosed sarcoidosis			
Work_environment	BIN22502	Cough on most days			
Work_environment	BIN22504	Bring up phlegm/sputum/mucus on most days			
Psychosocial_factors	BIN_FC10006160	Leisure/social activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)	PGS001018	EFO_0009592	social interaction measurement
Psychosocial_factors	BIN_FC20006156	Manic/hyper symptoms (I was more talkative than usual)			
Psychosocial_factors	BIN_FC20006160	Leisure/social activities (attend sports club or gym in once a week or more often)	PGS001019	EFO_0009592	social interaction measurement
Psychosocial_factors	BIN_FC30006156	Manic/hyper symptoms (I needed less sleep than usual)			
Psychosocial_factors	BIN_FC50006160	Leisure/social activities (attend adult edication class in once a week or more often)	PGS001020	EFO_0009592	social interaction measurement
Psychosocial_factors	BIN_FC50020126	Bipolar and major depression status probable depression (moderate)			
Psychosocial_factors	BIN1950	Sensitivity / hurt feelings	PGS001016	EFO_0009599	feeling emotionally hurt measurement
Psychosocial_factors	BIN1980	Worrier / anxious feelings	PGS001021	EFO_0009589|EFO_0009863	worry measurement|anxiety measurement
Psychosocial_factors	BIN2000	Worry too long after embarrassment	PGS001022	EFO_0009589	worry measurement
Psychosocial_factors	BIN2010	Suffer from 'nerves'	PGS001017	EFO_0009597	feeling nervous measurement
Psychosocial_factors	BIN2020	Loneliness, isolation	PGS001091	EFO_0007865	loneliness measurement
Psychosocial_factors	BIN2040	Risk taking	PGS001049	EFO_0008579	risk-taking behaviour
Anthropometry	INI12144	Height	PGS001405	EFO_0004339	body height
Anthropometry	INI20015	Sitting height	PGS000969	EFO_0011011	sitting height measurement
Anthropometry	INI21001	BMI	PGS001228	EFO_0004340	body mass index
Anthropometry	INI21002	Weight	PGS001230	EFO_0004338	body weight
Anthropometry	INI23099	Body fat %	PGS001101	EFO_0007800	body fat percentage
Anthropometry	INI23100	Whole body fat mass	PGS001149	EFO_0005409	fat body mass
Anthropometry	INI23101	Whole body fat-free mass	PGS001169	EFO_0004995	lean body mass
Anthropometry	INI23102	Whole body water mass	PGS001002	EFO_0009805	whole body water mass
Anthropometry	INI23105	Basal metabolic rate	PGS001108	EFO_0007777	base metabolic rate measurement
Anthropometry	INI23106	Impedance of whole body	PGS001161	EFO_0005106	body composition measurement
Anthropometry	INI23107	Impedance of leg (R)	PGS001157	EFO_0005106	body composition measurement
Anthropometry	INI23108	Impedance of leg (L)	PGS001155	EFO_0005106	body composition measurement
Anthropometry	INI23109	Impedance of arm (R)	PGS001156	EFO_0005106	body composition measurement
Anthropometry	INI23110	Impedance of arm (L)	PGS001154	EFO_0005106	body composition measurement
Anthropometry	INI23111	Leg fat % (R)	PGS001104	EFO_0007800	body fat percentage
Anthropometry	INI23112	Leg fat mass (R)	PGS001147	EFO_0005409	fat body mass
Anthropometry	INI23113	Leg fat-free mass (R)	PGS001167	EFO_0004995	lean body mass
Anthropometry	INI23114	Leg pred. mass (R)	PGS001159	EFO_0005106	body composition measurement
Anthropometry	INI23115	Leg fat % (L)	PGS001103	EFO_0007800	body fat percentage
Anthropometry	INI23117	Leg fat-free mass (L)	PGS001166	EFO_0004995	lean body mass
Anthropometry	INI23118	Leg pred. mass (L)	PGS001158	EFO_0005106	body composition measurement
Anthropometry	INI23119	Arm fat % (R)	PGS001106	EFO_0007800	body fat percentage
Anthropometry	INI23120	Arm fat mass (R)	PGS001145	EFO_0005409	fat body mass
Anthropometry	INI23121	Arm fat-free mass (R)	PGS001146	EFO_0005409	fat body mass
Anthropometry	INI23122	Arm pred. mass (R)	PGS001235	EFO_0004324	body weights and measures
Anthropometry	INI23123	Arm fat % (L)	PGS001102	EFO_0007800	body fat percentage
Anthropometry	INI23124	Arm fat mass (L)	PGS001144	EFO_0005409	fat body mass
Anthropometry	INI23125	Arm fat-free mass (L)	PGS001165	EFO_0004995	lean body mass
Anthropometry	INI23126	Arm pred. mass (L)	PGS001234	EFO_0004324	body weights and measures
Anthropometry	INI23127	Trunk fat %	PGS001105	EFO_0007800	body fat percentage
Anthropometry	INI23128	Trunk fat mass	PGS001148	EFO_0005409	fat body mass
Anthropometry	INI23129	Trunk fat-free mass	PGS001168	EFO_0004995	lean body mass
Anthropometry	INI23130	Trunk pred. mass	PGS001160	EFO_0005106	body composition measurement
Anthropometry	INI48	Waist circumference	PGS001227	EFO_0004342	waist circumference
Anthropometry	INI49	Hip circumference	PGS001162	EFO_0005093	hip circumference
Anthropometry	INI50	Standing height	PGS001229	EFO_0004339	body height
Biomarkers	INI30030650	AST to ALT ratio	PGS000674	EFO_0010934	aspartate aminotransferase to alanine aminotransferase ratio
Biomarkers	INI30030700	eGFR	PGS000682	EFO_0005208	glomerular filtration rate
Biomarkers	INI30030860	Non-albumin protein	PGS000691	EFO_0004568	serum non-albumin protein measurement
Biomarkers	INI30500	Microalbumin in urine	PGS000690	EFO_0010967	urinary microalbumin measurement
Biomarkers	INI30510	Creatinine (enzymatic) in urine	PGS000679	EFO_0007934	creatinine clearance measurement
Biomarkers	INI30520	Potassium in urine	PGS000693	EFO_0010952	urinary potassium measurement
Biomarkers	INI30530	Sodium in urine	PGS000695	EFO_0009282|EFO_0005116	sodium measurement|urinary metabolite measurement
Biomarkers	INI30600	Albumin	PGS000669	EFO_0004535	serum albumin measurement
Biomarkers	INI30610	Alkaline phosphatase	PGS000670	EFO_0004533	alkaline phosphatase measurement
Biomarkers	INI30620	Alanine aminotransferase	PGS000668	EFO_0004735	serum alanine aminotransferase measurement
